Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
134,"As per RBI’s draft proposal, what is the maximum materiality threshold for lending to related parties for large banks with asset size above ₹10 lakh crore?",₹5 crore,₹10 crore,₹25 crore,₹50 crore,₹1 crore,₹50 crore
135,The Reserve Bank of India (RBI) has granted an extension of tenure to Raghavendra Srinivas Bhat as MD & CEO of which bank?,South Indian Bank,Karnataka Bank,Federal Bank,Karur Vysya Bank,City Union Bank,Karnataka Bank
136,Which reforms were announced by the Reserve Bank of India (RBI) alongside the Monetary Policy Committee (MPC) meeting to strengthen the banking sector?,"Risk Based Premium Framework, ECL Provisioning, Revised Basel III norms, Capital Market Lending Reforms","Repo Rate Cut, CRR Hike, Forex Market Reforms, NBFC Liquidity Scheme","Digital Rupee Expansion, Credit Card Framework, UPI Internationalisation, Bond Market Reform","Gold Monetisation Scheme, Banking Merger Policy, Priority Sector Lending Expansion","Inflation Targeting Framework, FPI Investment Reform, Exchange Rate Stabilisation Measures","Risk Based Premium Framework, ECL Provisioning, Revised Basel III norms, Capital Market Lending Reforms"
137,"As per RBI’s new draft ECB framework, what is the maximum amount firms can raise without prior approval?",$500 million,$750 million,$1 billion or 300% of net worth (whichever is higher),$2 billion,$50 million,$1 billion or 300% of net worth (whichever is higher)
138,Who has been appointed as the new Chairman and Managing Director (CMD) of Rail Vikas Nigam Limited (RVNL)?,Pradeep Gaur,S. C. Jain,Ashwini Vaishnaw,Saleem Ahmad,Rajesh Kumar,Saleem Ahmad
139,Which homegrown messaging app developed by Zoho has recently surpassed WhatsApp and Telegram to top India’s app store charts?,Koo,Arattai,Sandes,Bharat Chat,Hike,Arattai
140,Which mobile app was launched to enable youth participation in the Viksit Bharat Young Leaders Dialogue (VBYLD) 2026 Quiz?,YUVA Connect,VBYLD Quiz App,National Youth App,India Leader Portal,MY Bharat,MY Bharat
141,Which Indian cricketer achieved a career-highest rating in the ICC Men’s T20I batting rankings?,Virat Kohli,Rishabh Pant,Abhishek Sharma,Shreyas Iyer,KL Rahul,Abhishek Sharma
142,Who is set to become Japan’s first woman Prime Minister after being elected as the head of the Liberal Democratic Party (LDP)?,Shinjiro Koizumi,Sanae Takaichi,Fumio Kishida,Yoshihide Suga,Yuriko Koike,Sanae Takaichi
143,"Which initiative did Union Minister Manohar Lal Khattar launch under Swachh Bharat Mission-Urban in Sonipat, Haryana?",Swachh Nagar Abhiyan,Swachh Shehar Jodi,Urban Clean Cities Programme,Clean India Mentorship Initiative,Waste Management Partnership Scheme,Swachh Shehar Jodi
144,The government has extended the last date for receiving applications under the PLI scheme for textiles till which date?,"September 30, 2025","December 31, 2025","March 31, 2026","June 30, 2025","December 31, 2024","December 31, 2025"
145,Which treaty has India implemented with Singapore to ensure cooperation in the investigation of singer Zubeen Garg’s death?,Extradition Treaty,Mutual Legal Assistance Treaty (MLAT),Bilateral Investment Treaty,Cybercrime Cooperation Agreement,Anti-Money Laundering Agreement,Mutual Legal Assistance Treaty (MLAT)
146,Which city has become the first in India to get its drinking water supply powered by solar energy funded through green bonds?,Surat,Indore,Bhopal,Pune,Ahmedabad,Indore
147,Which two countries are co-hosting the inaugural Women’s T20 World Cup – Cricket for the Blind?,India and Sri Lanka,India and Pakistan,India and Bangladesh,India and Australia,India and England,India and Sri Lanka
148,Tata Steel Limited signed a Joint Letter of Intent with which country’s government to accelerate decarbonisation of its operations?,Germany,Belgium,France,United Kingdom,Netherlands,Netherlands
149,"Which digital platform was inaugurated by Union Minister Ashwini Vaishnaw to p r o v i d e industry-oriented programs in AI, Cyber Security, Data Science, and Semiconductors?",Digital India University,CyberTech Learning Platform,Indian Tech University,AI & Data Science Academy,NIELIT Digital University (NDU),NIELIT Digital University (NDU)
150,Under which scheme has the Government identified 100 Aspirational Agriculture Districts across India?,Pradhan Mantri Krishi Vikas Yojana,National Agriculture Development Mission,Prime Minister Dhan-Dhaanya Krishi Yojana (PMDDKY),Rashtriya Krishi Utthaan Abhiyan,Kisan Pragati Mission,Prime Minister Dhan-Dhaanya Krishi Yojana (PMDDKY)
151,Which award did India win at the World Social Security Forum (WSSF) 2025?,Global Health Achievement Award,International Social Security Association (ISSA) Award,United Nations Social Development Award,World Employment Excellence Award,Global Labour Rights Award,International Social Security Association (ISSA) Award
152,"Prime Minister Narendra Modi launched youth-focused initiatives worth ₹62,000 crore for which Indian state?",Uttar Pradesh,Bihar,Madhya Pradesh,Jharkhand,Rajasthan,Bihar
153,The Ministry of Defence and the Ministry of Culture signed an MoU for which project to revive India’s ancient maritime craftsmanship?,Project Samudra Shakti,Stitched Ship Project – INSV Kaundinya,Project Sagarmala,Maritime Heritage Mission,Project Neelkanth,Stitched Ship Project – INSV Kaundinya
154,"Which renowned classical vocalist and Padma Vibhushan awardee passed away in Mirzapur, Uttar Pradesh at the age of 89?",Pandit Bhimsen Joshi,Pandit Jasraj,Pandit Chhannulal Mishra,Ustad Bismillah Khan,Pandit Shivkumar Sharma,Pandit Chhannulal Mishra
155,"Which development bank reported a 19.5% growth in net profit for FY 2024– 25, reaching ₹4,811 crore, with a focus on digital innovation, green finance, and financial inclusion?",NABARD,SIDBI,EXIM Bank,RBI,LIC,SIDBI
156,What is SBI’s target for its asset size as a percentage of India’s GDP by 2047?,20%,22%,25%,30%,28%,25%
157,Which organization has introduced new guidelines to provide relief to financially stressed borrowers by easing loan repayment rules?,SEBI,Ministry of Finance,NABARD,Reserve Bank of India (RBI),NITI Aayog,Reserve Bank of India (RBI)
158,"Which bank, in collaboration with PhonePe, launched the Wish Credit Card powered by RuPay?",Utkarsh Small Finance Bank,HDFC Bank,ICICI Bank,Axis Bank,SBI Card,Utkarsh Small Finance Bank
159,"Which company, in collaboration with HDFC Pension Management Company Limited, launched the National Pension System (NPS) Platform Workers Model under the supervision of PFRDA?",Swiggy,Blinkit,Ola,Urban Company,Zomato,Zomato
160,Which subsidiary of Coal India inaugurated its first fully women-operated Central Store Unit at Korba?,Northern Coalfields Limited (NCL),South Eastern Coalfields Limited (SECL),Western Coalfields Limited (WCL),Mahanadi Coalfields Limited (MCL),Central Coalfields Limited (CCL),South Eastern Coalfields Limited (SECL)
161,What is the total estimated cost for the newly approved 57 Kendriya Vidyalayas (KVs) to be established across India from 2026-27?,"Rs 4,500 crore","Rs 5,862.55 crore","Rs 6,200 crore","Rs 7,000 crore","Rs 3,800 crore","Rs 5,862.55 crore"
162,What is the name of the bilateral maritime exercise initiated by the Indian Navy and the Royal Navy of the UK off India’s western coast?,MALABAR,KONKAN,INDRA,SAGAR,VARUNA,KONKAN
163,Where did Union Home Minister Amit Shah inaugurate the expanded capacity of the Dr. Vitthalrao Vikhe Patil Cooperative Sugar Factory?,Pune,Mumbai,Nagpur,Ahilyanagar,Nashik,Ahilyanagar
164,"Who has been appointed as the Brand Ambassador for the Viksit Bharat Buildathon, a nationwide innovation initiative by the Ministry of Education (MoE)?",Group Captain Shubansh Sukla,Rakesh Sharma,Sunita Williams,Kalpana Chawla,Dr. K. Sivan,Group Captain Shubansh Sukla
165,"Which organization constructed the world’s highest motorable road at Mig La Pass near the Line of Actual Control (LAC) at an altitude of 19,400 feet?",National Highways Authority of India (NHAI),Border Roads Organisation (BRO),Indian Army Corps of Engineers,Ministry of Defence,Project Vartak,Border Roads Organisation (BRO)
166,Where will the NaMo Semiconductor Laboratory be established?,IIT Delhi,IIT Bombay,IIT Bhubaneswar,IIT Hyderabad,IISc Bengaluru,IIT Bhubaneswar
167,What initiative has NHAI announced to provide commuters with project- specific information and enhance road safety on national highways?,Smart Toll Booths,QR Code Sign Boards,Highway Surveillance Cameras,Road Safety App,Digital Highway Maps,QR Code Sign Boards
168,Where was India’s first cooperative multi-feed Compressed Biogas (CBG) plant inaugurated?,"Pune, Maharashtra","Kopargaon, Ahilyanagar district, Maharashtra","Varanasi, Uttar Pradesh","Rajkot, Gujarat","Nashik, Maharashtra","Kopargaon, Ahilyanagar district, Maharashtra"
169,Which next-generation hypersonic missile is DRDO preparing to test before the year ends?,Shaurya,Agni-P,Dhvani,Nirbhay,BrahMos-II,Dhvani
170,The Union Cabinet has approved which phase of the Biomedical Research Career Programme (BRCP) to be implemented from 2025-26 to 2030-31?,Phase-I,Phase-II,Phase-III,Phase-IV,Pilot Phase,Phase-III
171,Who won the Irani Cup 2025 by defeating Rest of India?,Mumbai,Saurashtra,Vidarbha,Karnataka,Rest of India,Vidarbha
172,"Which Centrally Sponsored Scheme (CSS) aims to transform ITIs into advanced centres for skilling and employability, with a total investment of Rs. 60,000 crore?",PM-SETU,PM-SVANidhi,Kaushal Vikas Yojana,Skill India Initiative,MNREGA,PM-SETU
173,Who is the author of the book “Regulating and Managing Banks in India: An Economic Perspective”?,Rakesh Mohan,Amaresh Samantaraya,Urjit Patel,Viral Acharya,Arvind Subramanian,Amaresh Samantaraya
174,What is the new official name of the Navi Mumbai International Airport announced by Maharashtra CM Devendra Fadnavis?,D. B. Patil International Airport,Loknete Dinkar Balu (DB) Patil Navi Mumbai International Airport,Devendra Fadnavis International Airport,Maharashtra International Airport,Navi Mumbai DB Airport,Loknete Dinkar Balu (DB) Patil Navi Mumbai International Airport
175,"What is the theme of World Teachers’ Day 2025, celebrated globally on 5th October?",Valuing Teachers,Recasting Teaching as a Collaborative Profession,Teachers for Sustainable Development,Digital Teaching and Learning,Celebrating Educators,Recasting Teaching as a Collaborative Profession
176,In which country did Union Minister Piyush Goyal launch India’s Unified Payments Interface (UPI) to enhance digital and financial cooperation?,Qatar,UAE,Saudi Arabia,Oman,Bahrain,Qatar
177,"According to the World Bank, what is India’s GDP growth estimate for FY26?",6.3%,6.5%,6.7%,6.8%,6.9%,6.5%
178,Which insurance company launched the “Health Alpha” plan — the first retail health insurance product introduced after GST reforms?,HDFC ERGO General Insurance,ICICI Lombard General Insurance,SBI General Insurance,Bajaj Allianz General Insurance,New India Assurance,SBI General Insurance
179,"Which company, in collaboration with YES Bank, launched India’s first biometric card authentication system compliant with RBI’s 2025 guidelines?",Paytm,Razorpay,PhonePe,Google Pay,BharatPe,Razorpay
180,Which Indian stock-trading platform recently achieved unicorn status after a $120 million funding round led by Hornbill Capital and MUFG?,Groww,Zerodha,Angel One,Dhan,Upstox,Dhan
181,What is the revised world goods trade growth forecast for 2025 as per WTO?,0.9%,1.8%,2.4%,4.6%,0.5%,2.4%
182,Which co-operative bank launched India’s first youth-focused digital banking app ‘Cosmos Galgal’?,Saraswat Co-operative Bank,Cosmos Co-operative Bank,Shamrao Vithal Co-operative Bank,Abhyudaya Co-operative Bank,Punjab & Maharashtra Co-operative Bank,Cosmos Co-operative Bank
183,What is the maximum compensation proposed by RBI that the banking ombudsman can award to aggrieved bank customers for consequential loss?,₹10 lakh,₹20 lakh,₹25 lakh,₹30 lakh,₹35 lakh,₹30 lakh
184,ICICI Bank has launched the Corporate Sapphiro Forex Card in collaboration with which global payment network?,Mastercard,Visa,American Express,RuPay,Discover,Visa
185,"What is the name of the 2nd Adamya-class Fast Patrol Vessel officially commissioned in the Indian Coast Guard at Karaikal, Puducherry?",ICGS Shaurya,ICGS Akshar,ICGS Vajra,ICGS Tejas,ICGS Nirbhik,ICGS Akshar
186,Who won the CEAT Lifetime Achievement Award for the 2024–25 season?,Joe Root and Smriti Mandhana,Kane Williamson and Sanju Samson,B.S. Chandrasekhar and Brian Lara,Rohit Sharma and Varun Chakravarthy,Harry Brook and Deepti Sharma,B.S. Chandrasekhar and Brian Lara
187,"Under which scheme have Public Sector Banks (PSBs) sanctioned over 5.79 lakh loans amounting to ₹10,907 crore as of September 2025?",PM Surya Ghar: Muft Bijli Yojana,Ujjwala Yojana,Saubhagya Scheme,Pradhan Mantri Kisan Urja Suraksha evam Utthan Mahabhiyan (PM KUSUM),National Solar Mission,PM Surya Ghar: Muft Bijli Yojana
188,Who were the winners of the 2025 Nobel Prize in Physiology or Medicine for their discoveries concerning peripheral immune tolerance?,"Shimon Sakaguchi, Mary E. Brunkow, Fred Ramsdell","Tasuku Honjo, James Allison","Jennifer Doudna, Emmanuelle Charpentier","Robert Shiller, Joseph Stiglitz","Svante Pääbo, Katalin Karikó","Shimon Sakaguchi, Mary E. Brunkow, Fred Ramsdell"
189,Who won the 2025 Young Champion of the Earth Award for converting banana stems into sustainable Banofi leather?,Joseph Nguthiru,Noemi Florea,Jinali Mody,Vandana Shiva,Ratan Tata,Jinali Mody
190,Which state has recently become the 24th to implement Pradhan Mantri Fasal Bima Yojana (PMFBY)?,Telangana,Mizoram,Gujarat,Bihar,West Bengal,Mizoram
191,"The Union Cabinet approved an incentive scheme worth ₹1,500 crore to promote recycling and production of critical minerals. Under which mission is this scheme launched?",National Mineral Development Mission,Atmanirbhar Bharat Mineral Initiative,National Critical Mineral Mission,Green Circular Economy Mission,Sustainable Mining and Recycling Mission,National Critical Mineral Mission
192,"Which country hosted the 12th edition of the World Para Athletics Championships in 2025, becoming the first South Asian nation to do so?",India,Japan,China,Brazil,Iran,India
193,Which conservation reserve in India was officially recognized by IUCN during the 2025 World Conservation Congress?,Sundarbans Mangrove Reserve,Palk Bay Dugong Conservation Reserve,Kaziranga Rhino Reserve,Great Nicobar Biosphere Reserve,Rann of Kutch Flamingo Reserve,Palk Bay Dugong Conservation Reserve
194,"Which Indian weightlifter won the silver medal in the women’s 48 kg category at the 2025 World Weightlifting Championships held in Førde, Norway?",Saikhom Mirabai Chanu,Karnam Malleswari,P. Gururaja,Monika Devi,Sanjita Chanu,Saikhom Mirabai Chanu
195,"What was the theme of NPS Diwas 2025 celebrated by PFRDA on October 1, 2025?",Pension for All,"Inclusive Pensions, Innovative Solutions: Strengthening Retirement Security in India",Digital Pension Revolution,Retirement Planning for Youth,Sustainable Pension Growth,"Inclusive Pensions, Innovative Solutions: Strengthening Retirement Security in India"
196,When is World Habitat Day 2025 celebrated?,5th October,6th October,7th October,1st October,8th October,6th October
197,"From which date will State and Central Co-operative Banks come under the ambit of the RBI’s Integrated Ombudsman Scheme, 2021?","August 15, 2025","October 1, 2025","November 1, 2025","December 31, 2025","January 1, 2026","November 1, 2025"
198,Who has been appointed as Administrator of Irinjalakuda Town Co-operative Bank after RBI superseded its board?,Mohanan K,T.A. Mohamed Sageer,Raju S. Nair,Shaktikanta Das,V. Vaidyanathan,Raju S. Nair
199,Who launched the pilot linking the FX-Retail platform of Clearcorp with the Bharat Bill Payment System (Bharat Connect)?,T. Rabi Sankar,Shaktikanta Das,Nirmala Sitharaman,Ajay Tyagi,Rajeev Kumar,T. Rabi Sankar
200,What is the initial transaction limit for UPI biometric authentication introduced by the Government of India?,"₹1,000","₹2,500","₹5,000","₹10,000","₹15,000","₹5,000"
201,"The Reserve Bank of India (RBI) has imposed a monetary penalty of ₹31.80 lakh on which bank for non-compliance with its directions under the Credit Card and Debit Card - Issuance and Conduct Directions, 2022?",Citibank N.A.,HSBC Bank,American Express Banking Corp.,Standard Chartered Bank,Deutsche Bank,American Express Banking Corp.
202,"Which Indian payments system has been announced as the first partner onboarded on PayPal World, PayPal’s global payments platform?",BharatQR,UPI,Paytm,Google Pay,PhonePe,UPI
203,Which company recently rebranded its insurance businesses as Bajaj General Insurance and Bajaj Life Insurance after acquiring full ownership?,ICICI Lombard,HDFC ERGO,Tata AIG,SBI General Insurance,Bajaj Finserv,Bajaj Finserv
204,What is the purpose of RBI’s proposed Expected Credit Loss (ECL) framework?,To reduce CRR and SLR for banks,To replace the RTGS payment system,To align India’s banking norms with global standards and improve credit risk assessment,To promote digital payment systems,To merge all public sector banks into one,To align India’s banking norms with global standards and improve credit risk assessment
205,Which Urban Cooperative Bank’s licence has been cancelled by the Reserve Bank of India (RBI) in October 2025?,"Jijamata Sahakari Bank, Satara","Saraswat Co-operative Bank, Mumbai","Rupee Co-operative Bank, Pune","Punjab & Maharashtra Co-operative Bank, Mumbai","Abhyudaya Co-operative Bank, Mumbai","Jijamata Sahakari Bank, Satara"
206,Which initiative has the Reserve Bank of India (RBI) launched to allow fintech companies to develop and test use cases under the e-Rupee pilot?,Digital Rupee Sandbox,Fintech Innovation Hub,E-Payments Pilot Program,Retail Banking Sandbox,Digital Finance Lab,Digital Rupee Sandbox
207,The Reserve Bank of India has launched the 71st round of which quarterly survey for the reference period July – September 2025?,Industrial Outlook Survey (IOS),Consumer Confidence Survey (CCS),"Order Books, Inventories and Capacity Utilisation Survey (OBICUS)",Inflation Expectations Survey (IES),Services Sector Utilisation Survey,"Order Books, Inventories and Capacity Utilisation Survey (OBICUS)"
208,"RBI imposed a monetary penalty of ₹4.20 lakh on which NBFC for non- compliance with KYC Directions, 2016?",Bajaj Finance Ltd,HDB Financial Services Ltd,Tata Capital Financial Services,Muthoot Finance,Shriram Finance,HDB Financial Services Ltd
209,Who has been appointed as the 11th Director-General of UNESCO?,Audrey Azoulay,Firmin Edouard Matoko,Moussa Faki Mahamat,Amadou-Mahtar M’Bow,Khaled El-Enany,Khaled El-Enany
210,Which organization released the ‘Indian Radio Software Architecture (IRSA) standard 1.0’ to enable interoperability in military communication?,Bharat Electronics Limited (BEL),Defense Research and Development Organization (DRDO),Indian Space Research Organisation (ISRO),Border Roads Organisation (BRO),Ministry of Defence (MoD),Defense Research and Development Organization (DRDO)
211,What recent approval has the Union Cabinet given regarding the national song “Vande Mataram”?,Declared it as India’s national anthem,Approved a nationwide celebration of its 150th anniversary,Included it in the school curriculum,Commissioned a new musical composition,Celebrated it as an international day,Approved a nationwide celebration of its 150th anniversary
212,Who were awarded the 2025 Nobel Prize in Chemistry?,"Susumu Kitagawa, Richard Robson, Omar Mwannes Yaghi","John Clarke, Michel Henri Devoret, John Matthew Martinis","Frances Arnold, George Smith, Gregory Winter","Carolyn Bertozzi, Morten Meldal, K. Barry Sharpless","Ahmed Zewail, Richard Smalley, Robert Curl","Susumu Kitagawa, Richard Robson, Omar Mwannes Yaghi"
213,What is celebrated globally on 7th October as a day dedicated to cotton?,World Textile Day,World Cotton Day,International Fiber Day,Global Agriculture Day,Cotton Awareness Day,World Cotton Day
214,Which organization launched its 2nd verified WhatsApp channel for public awareness under the ‘RBI Kehta Hai’ initiative?,SEBI,IRDAI,RBI,Ministry of Finance,NABARD,RBI
215,"As per the latest amendment to the National Highways Fee (Determination of Rates and Collection) Rules, 2008, how much will vehicles be charged if they pay toll fees via UPI without a valid FASTag?",Equal to applicable user fee,1.25 times the applicable user fee,1.5 times the applicable user fee,2 times the applicable user fee,3 times the applicable user fee,1.25 times the applicable user fee
216,"Which bank in India has become the first to act as a UPI-ICD Acquirer, allowing UPI-based interoperable cash deposits?",State Bank of India,Union Bank of India,TJSB Sahakari Bank,HDFC Bank,ICICI Bank,TJSB Sahakari Bank
217,"What is the maximum withdrawal limit imposed by RBI on The Baghat Urban Co-operative Bank Ltd., Solan?","₹5,000","₹10,000","₹25,000","₹50,000","₹1,00,000","₹10,000"
218,The recently launched Foreign Currency Settlement System (FCSS) at GIFT City currently supports transactions in which currency?,Euro,Pound,US Dollar,Yen,Rupee,US Dollar
219,Which organization has launched its new tech subsidiary ‘NPCI Tech Solutions Limited (NTSL)’ to promote innovation and research in the fintech sector?,Reserve Bank of India,SIDBI,State Bank of India,NITI Aayog,National Payments Corporation of India,National Payments Corporation of India
220,"What is the rate of interest on the Government of India Floating Rate Bond 2028 (GOI FRB 2028) for the period October 4, 2025 – April 3, 2026?",6.10%,6.22%,6.35%,6.50%,6.75%,6.22%
221,Which bank has officially launched Innovation Banking in India with a USD 1 billion non-dilutive debt capital allocation for startups?,HSBC Bank,Standard Chartered Bank,Citibank,DBS Bank,Barclays Bank,HSBC Bank
222,What is the new minimum threshold for block deals as per SEBI’s latest revision?,₹5 crore,₹10 crore,₹15 crore,₹25 crore,₹50 crore,₹25 crore
223,Which event marked the 60th anniversary of diplomatic relations between India and Singapore?,India-Singapore @60: Partnership for Growth & Engagement,India-Singapore Economic Summit,ASEAN-India Business Forum,India-Singapore Innovation Week,Bilateral Trade Dialogue,India-Singapore @60: Partnership for Growth & Engagement
224,India recently signed a £350-million defence deal with which country to buy missiles for the Indian Army?,France,Russia,United States,United Kingdom,Israel,United Kingdom
225,"Which institute has signed an MoU with the Ministry of Minority Affairs (MoMA) for a skilling project under the PM VIKAS scheme in Palakkad, Kerala?",Indian Institute of Technology Delhi,Indian Institute of Technology Palakkad,Indian Institute of Science Bangalore,National Institute of Technology Trichy,Jawaharlal Nehru University,Indian Institute of Technology Palakkad
226,Where was the 8th session of the International Solar Alliance (ISA) Assembly held?,"Vigyan Bhavan, New Delhi","Bharat Mandapam, New Delhi","Rashtrapati Bhavan, New Delhi","India Habitat Centre, New Delhi","Pragati Maidan, New Delhi","Bharat Mandapam, New Delhi"
227,"Which coal mine, launched in Arunachal Pradesh, marks the state’s first commercial coal mining operation?",Namchik Namphuk Coal Mine,Makum Coal Mine,Talcher Coal Mine,Jharia Coal Mine,Raniganj Coal Mine,Namchik Namphuk Coal Mine
228,What is the main objective of India’s ‘National Red List Assessment’ project?,To assess forest health,To publish National Red Data Books on flora and fauna by 2030,To conserve water resources,To increase tiger population,To reduce air pollution,To publish National Red Data Books on flora and fauna by 2030
229,What is the name of the new apex federal agency established by the Indian government for integrated transport planning?,National Transport Authority,Gati-Shakti Transport Planning & Research Organisation (GTPRO),Indian Transport Research Institute,Ministry of Integrated Transport Planning,National Infrastructure Planning Agency,Gati-Shakti Transport Planning & Research Organisation (GTPRO)
230,Who has been awarded the 2025 Nobel Prize in Literature?,Imre Kertész,Orhan Pamuk,Milan Kundera,Haruki Murakami,László Krasznahorkai,László Krasznahorkai
231,"During Wildlife Week 2025, which initiative’s foundation stone was laid by Union Minister Shri Bhupender Yadav at Manesar?",Project Tiger,Namo Van,Biodiversity Park,Eco Green Initiative,Forest Conservation Drive,Namo Van
232,What is the theme of the 93rd Indian Air Force Day 2025 celebrated on 8th October?,"Indian Air Force – Courageous, Committed and Capable","Indian Air Force – Infallible, Impervious and Precise","Indian Air Force – Strong, Swift and Skilled","Indian Air Force – Vigilant, Valorous and Valiant","Indian Air Force – Ready, Reliable and Resilient","Indian Air Force – Infallible, Impervious and Precise"
233,SEBI is working with which two institutions to enable remote KYC access for NRIs?,RBI and UIDAI,NPCI and RBI,UIDAI and Finance Ministry,RBI and IRDAI,None of These,RBI and UIDAI
234,What new feature did NPCI unveil at the Global Fintech Festival 2025 for UPI transactions?,UPI transactions via cryptocurrency,"On-device biometric authentication, UPI Lite for smart glasses, Aadhaar-based face authentication, and Multi-Signatory UPI",UPI only through debit cards,UPI PIN removal for all transactions,QR code payments disabled,"On-device biometric authentication, UPI Lite for smart glasses, Aadhaar-based face authentication, and Multi-Signatory UPI"
235,Which bank received a ‘Letter of Caution’ from RBI for non-compliance with KYC norms?,HDFC Bank,ICICI Bank,Axis Bank,Yes Bank,Kotak Mahindra Bank,Axis Bank
236,The Government of India has allowed candidates from which sector to apply for top management roles in public sector banks including SBI?,Defence Sector,Education Sector,Private Sector,Cooperative Sector,Agriculture Sector,Private Sector
237,Which bank launched the ‘My Business QR’ initiative to provide small merchants with digital profiles and mini online stores?,ICICI Bank,HDFC Bank,Axis Bank,State Bank of India,Kotak Mahindra Bank,HDFC Bank
238,How much loan amount has SBI provided to MSMEs through the SME Digital Business Loans platform in the last 15 months?,"₹54,000 crore","₹60,200 crore","₹74,434 crore","₹82,000 crore","₹90,000 crore","₹74,434 crore"
239,RBI will consolidate how many circulars into 238 Master Directions by October 2025?,"5,000","7,500","9,000","10,000","3,500","9,000"
240,Who has been appointed as the Executive Director of the Reserve Bank of India (RBI)?,Shaktikanta Das,Urjit Patel,Viral Acharya,Raghuram Rajan,Sanjay Kumar Hansda,Sanjay Kumar Hansda
241,"As per the RBI’s new rule, for how long can exporters keep their foreign exchange proceeds in a Foreign Currency Account at IFSC?",1 month,2 months,3 months,6 months,12 months,3 months
242,Which initiative has RBI launched to expand public awareness through WhatsApp?,RBI Digital Banking App,RBI Kehta Hai verified WhatsApp channel,RBI SMS Alerts only,RBI YouTube Awareness Campaign,RBI Email Newsletter,RBI Kehta Hai verified WhatsApp channel
243,Which organizations have launched the pilot for AI-driven UPI payments on ChatGPT in India?,RBI,NPCI and Razorpay,Paytm,SBI,Google Pay,NPCI and Razorpay
244,Who represented India at the Closing Ceremony of MONDIACULT 2025 in Barcelona?,G. Kishan Reddy,Smriti Irani,Prahlad Singh Patel,Arjun Munda,Amita Prasad Sarbhai,Amita Prasad Sarbhai
245,Who is the author of the book “Maine Cancer Ko Jeet Liye” (I am a Cancer Survivor)?,Dr. P. Vijay Anand Reddy,G. Kishan Reddy,C. Rajagopalachari,Dr. Devi Shetty,Kiran Bedi,Dr. P. Vijay Anand Reddy
246,What is the total installed capacity of the Sawalkote Hydro Electric Project on the Chenab River?,"1,200 MW","1,500 MW","1,856 MW","2,000 MW","1,750 MW","1,856 MW"
247,"Which UK leader visited Mumbai for a two-day trade-focused visit in 2025, marking his first official trip to India as Prime Minister?",Boris Johnson,Rishi Sunak,Keir Starmer,David Cameron,Theresa May,Keir Starmer
248,Which platform has the Department of Agriculture and Farmers Welfare recently expanded by adding nine new commodities?,AgriStack,e-NAM,Krishi Vigyan Kendra,PM Kisan Portal,Rashtriya Krishi Vikas Yojana,e-NAM
249,Who became the first Indian cricketer to score 10 centuries in the World Test Championship (WTC)?,Virat Kohli,Rohit Sharma,Shubman Gill,Rishabh Pant,Ajinkya Rahane,Shubman Gill
250,Who has retained the top spot as India’s richest person in Forbes 100 India’s Richest 2025 list?,Mukesh Ambani,Radhakishan Damani,Gautam Adani,Shiv Nadar,Cyrus Poonawalla,Mukesh Ambani
251,Which Indian startup will launch the world’s first multi-sensor Earth Observation (EO) satellite ‘Mission Drishti’ in 2026?,Skyroot Aerospace,Agnikul Cosmos,GalaxEye,Pixxel,Dhruva Space,GalaxEye
252,Who has been awarded the 2025 Nobel Peace Prize by the Norwegian Nobel Committee?,Malala Yousafzai,Aung San Suu Kyi,Greta Thunberg,Volodymyr Zelenskyy,María Corina Machado,María Corina Machado
253,"Which ministry has recently amended the PLI scheme for Manmade Fibres (MMF) apparel, fabrics, and technical textiles?",Ministry of Commerce and Industry,"Ministry of Micro, Small & Medium Enterprises",Ministry of Textiles,Ministry of Finance,NITI Aayog,Ministry of Textiles
254,Indian Railways is set to sign an MoU with which homegrown navigation app developer?,Inshorts,NaviMap,MapmyIndia (Mappls),Bharat Maps,InfoNav,MapmyIndia (Mappls)
255,Which country has inaugurated the world’s first solar thermal power station in the Gobi Desert?,India,United Arab Emirates,Saudi Arabia,United States,China,China
256,What is the name of the national-level exercise conducted by the Indian Coast Guard to enhance preparedness for marine oil spill incidents?,MARPOL Exercise,NATPOLREX-X,Oil Spill Response Drill,Coastal Preparedness Exercise,NOSDCP Exercise,NATPOLREX-X
257,Which campaign has been launched by the Ministry of Education and Ministry of Health & Family Welfare to promote tobacco-free learning environments in India?,Swachh Bharat Abhiyan,Fit India Movement,Ayushman Bharat Yojana,National Nutrition Mission,Tobacco-Free Youth Campaign 3.0 (TFYC 3.0),Tobacco-Free Youth Campaign 3.0 (TFYC 3.0)
258,"Who is the Taliban leader visiting India from October 9 to 16, 2025, marking the first visit of a top Taliban official since 2021?",Mullah Abdul Ghani Baradar,Khalil Haqqani,Hibatullah Akhundzada,Sher Mohammad Abbas Stanikzai,Amir Khan Muttaqi,Amir Khan Muttaqi
259,Who has been designated as India’s Mental Health Ambassador on World Mental Health Day?,Priyanka Chopra,Deepika Padukone,Alia Bhatt,Vidya Balan,None of the Above,Deepika Padukone
260,When is World Migratory Bird Day (WMBD) observed in 2025?,1st January,2nd April,25th December,15th August,2nd Saturday of May and October,2nd Saturday of May and October
261,What is the target percentage of female workforce SBI aims to achieve by 2030?,25%,27%,30%,33%,35%,30%
