Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
137,"As of June 30, 2025, how many districts across India are covered under the Pradhan Mantri National Dialysis Programme (PMNDP)?",751,600,500,800,900,751
138,What is the annual scholarship amount provided under the National Means- cum-Merit Scholarship Scheme (NMMSS)?,"Rs.6,000","Rs.10,000","Rs.12,000","Rs.15,000","Rs.18,000","Rs.12,000"
139,"Which species was mistakenly targeted instead of the Alpine musk deer in India’s conservation breeding programme, as per a Central Zoo Authority report?",Red Musk Deer,Himalayan Musk Deer,Kashmir Stag,Chiru,Barking Deer,Himalayan Musk Deer
140,"Which veteran politician, founder of the Jharkhand Mukti Morcha (JMM), and ormer Jharkhand Chief Minister passed away in 2025?",Hemant Soren,Raghubar Das,Babulal Marandi,Shibu Soren,Arjun Munda,Shibu Soren
141,What is the repo rate decided in the 56th meeting of the Monetary Policy Committee (MPC) held in August 2025?,5.25%,5.50%,5.75%,6.00%,6.25%,5.50%
142,PhonePe’s Indus Appstore recently partnered with which French consumer technology brand to pre-install its marketplace on all smartphones in India?,Lava,Xiaomi,Alcatel,Realme,TCL,Alcatel
143,Which department has developed the Financial Fraud Risk Indicator (FRI) to assess the risk level of mobile numbers in financial fraud?,Reserve Bank of India (RBI),Ministry of Finance,Department of Telecommunications (DoT),Ministry of Home Affairs,National Payments Corporation of India (NPCI),Department of Telecommunications (DoT)
144,Under which initiative has the Pension Fund Regulatory and Development Authority (PFRDA) launched its new upgraded website?,Digital Bharat Mission,PFRDA CONNECT,NPS Digital Drive,Pension Portal 2.0,FinTech Integration Plan,PFRDA CONNECT
145,IRDAI imposed a penalty of how many crore rupees on Policybazaar for violation of various norms?,Rs.2 crore,Rs.3 crore,Rs.5 crore,Rs.7 crore,Rs.10 crore,Rs.5 crore
146,"Who has been appointed as the MD & CEO of IndusInd Bank for a three-year term until August 24, 2028?",Sumant Khatpalia,Sunil Mehta,Rajiv Anand,Aditya Puri,Chanda Kochhar,Rajiv Anand
147,"What is the proposed new base year for GDP, IIP, and CPI in India?",GDP & IIP – 2021-22; CPI – 2023,GDP & IIP – 2022-23; CPI – 2024,GDP & IIP – 2020-21; CPI – 2023,GDP & IIP – 2022-23; CPI – 2023,GDP & IIP – 2023-24; CPI – 2024,GDP & IIP – 2022-23; CPI – 2024
148,In which state was India’s first AI-powered Anganwadi centre inaugurated under the Mission Bal Bharari initiative?,Maharashtra,Karnataka,Gujarat,Madhya Pradesh,Rajasthan,Maharashtra
149,Which company has been awarded the ₹792 crore PAN 2.0 project by the Income Tax Department?,Infosys,Wipro,LTIMindtree,Tech Mahindra,TCS,LTIMindtree
150,Who has been appointed as the Chairperson of the Capacity Building Commission (CBC) for a three-year term?,Adil Zainulbhai,S Radha Chauhan,Rajiv Gauba,Nripendra Misra,Alok Kumar,S Radha Chauhan
151,"Under the National Green Hydrogen Mission, what record low price was discovered in SECI’s first-ever auction for Green Ammonia procurement in 2025?",Rs.62.10/kg,Rs.58.00/kg,Rs.55.75/kg,Rs.59.25/kg,Rs.54.50/kg,Rs.55.75/kg
152,The critically endangered Asian giant tortoise was recently reintroduced into which reserve in Nagaland?,Puliebadze Wildlife Sanctuary,Zeliang Community Reserve,Fakim Wildlife Sanctuary,Ntangki National Park,Intanki Community Reserve,Zeliang Community Reserve
153,The Indian men’s and women’s table tennis teams recently qualified for the World Table Tennis Championships (WTTC) 2026 after winning which tournament?,Asian Table Tennis Championships,South Asia Regional Championships 2025,Commonwealth Table Tennis Championship,Central Asia Regional Championships,None of these,South Asia Regional Championships 2025
154,Where was the 15th Meeting of the Conference of the Parties (CoP) to the Ramsar Convention on Wetlands held?,"Wuhan, China","Gland, Switzerland","Victoria Falls National Park, Zimbabwe","New Delhi, India","Nairobi, Kenya","Victoria Falls National Park, Zimbabwe"
155,"Who has been appointed as the first Indian CEO of Jaguar Land Rover (JLR), effective November 2025?",PB Balaji,Ratan Tata,N Chandrasekaran,Adrian Mardell,Guenter Butschek,PB Balaji
156,"Which airport operator in India has raised Rs.9,000 crore through the issuance of unlisted Non-Convertible Debentures (NCDs) in 2025?",Delhi International Airport Limited,Bangalore International Airport Limited,Mumbai International Airport Limited,Hyderabad International Airport Limited,Cochin International Airport Limited,Bangalore International Airport Limited
157,Who released the NITI Aayog report “Unlocking a USD 200 Billion Opportunity: Electric Vehicles in India”?,Amitabh Kant,Rajiv Gauba,Arvind Panagariya,Bibek Debroy,Nirmala Sitharaman,Rajiv Gauba
158,Which Hyderabad-based spacetech start-up will launch its first commercial space mission LEAP-1 aboard SpaceX’s Falcon 9 in Q3 2025?,Skyroot Aerospace,Pixxel,Dhruva Space,Bellatrix Aerospace,Astrogate Labs,Dhruva Space
159,Which company has received approval from the Competition Commission of India (CCI) to acquire Jaiprakash Associates Limited in 2025?,Ultratech Cement,Shree Cement,ACC Limited,Ambuja Cements,Dalmia Cement (Bharat) Limited,Dalmia Cement (Bharat) Limited
160,"Which organisation, along with the Ministry of Ayush, organised the inaugural WHO–IRCH workshops on herbal medicines in Ghaziabad in 2025?",NITI Aayog,Pharmacopoeia Commission for Indian Medicine and Homoeopathy (PCIM&H),Central Council for Research in Ayurvedic Sciences (CCRAS),National Medicinal Plants Board (NMPB),Indian Council of Medical Research (ICMR),Pharmacopoeia Commission for Indian Medicine and Homoeopathy (PCIM&H)
161,Which state recorded the highest marine fisheries growth in India in 2024?,Gujarat,Kerala,Maharashtra,Tamil Nadu,Odisha,Maharashtra
162,In which state was the Annadata Sukhibhava–Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme formally launched by the Chief Minister in Veerayapalem?,Karnataka,Andhra Pradesh,Telangana,Tamil Nadu,Maharashtra,Andhra Pradesh
163,"As of March 31, 2025, how many Centres for Financial Literacy (CFLs) have been set up across India under the RBI’s initiative to promote financial literacy?","1,842","2,421","3,015","2,210",None of these,"2,421"
164,"Under RBI’s new guidelines effective from April 1, 2026, what is the maximum partial credit enhancement limit for bonds?",20%,25%,40%,50%,60%,50%
165,Gro Digital Platforms has signed an MoU with which bank to launch FASTag services for fleet owners and transporters in India?,HDFC Bank,ICICI Bank,IDFC FIRST Bank,Axis Bank,State Bank of India,IDFC FIRST Bank
166,Which bank has launched the ‘bob FxOne’ digital foreign exchange platform for corporate and MSME customers?,State Bank of India,Bank of Baroda,Punjab National Bank,Canara Bank,HDFC Bank,Bank of Baroda
167,Which Small Finance Bank recently received ‘in-principle’ approval from the Reserve Bank of India (RBI) to transition into a Universal Bank?,Equitas Small Finance Bank,Ujjivan Small Finance Bank,AU Small Finance Bank,Suryoday Small Finance Bank,None of these,AU Small Finance Bank
168,From when to when will public sector banks hold Re-KYC camps for Jan Dhan accounts in 2025?,1 June – 31 August 2025,1 July – 30 September 2025,15 July – 15 October 2025,1 August – 31 October 2025,None of these,1 July – 30 September 2025
169,Which bank has launched the ‘Lock FD’ feature to safeguard Fixed Deposits from digital frauds?,Axis Bank,ICICI Bank,HDFC Bank,IDFC FIRST Bank,State Bank of India,Axis Bank
170,Generali Group and the Central Bank of India recently unveiled a new brand identity for their life and general insurance joint venture. What is the new name?,Central Generali Insurance,Generali India Insurance,Central Life & General,Generali Central,None of these,Generali Central
171,RBI has cut the CPI inflation projection for FY26 to what level?,3.7%,3.5%,3.1%,2.9%,6.6%,3.1%
172,"As per the Ministry of Textiles, how many handloom products have been registered under the Geographical Indication (GI) of Goods Act, 1999 in India?",106,227,112,94,None of these,106
173,"SAP Labs India recently inaugurated its state-of-the-art Innovation Park at Devanahalli, Bengaluru. Once fully operational, how many professionals will it accommodate?","10,000","12,500","15,000","18,000",None of these,"15,000"
174,Defence Acquisition Council recently approved defence procurement proposals worth how much?,"Rs.45,000 crore","Rs.52,000 crore","Rs.67,000 crore","Rs.75,000 crore","Rs.80,000 crore","Rs.67,000 crore"
175,"As per the International Air Transport Association (IATA) World Air Transport Statistics (WATS) 2024 report, what was India’s rank among the world’s largest aviation markets in 2024?",3rd,4th,5th,6th,None of these,5th
176,What is the name of India’s first Artificial Intelligence (AI)-powered learning application launched by Union Education Minister Dharmendra Pradhan?,EduAI,Tutoz,LearnPro,SmartPrep,None of these,Tutoz
177,"India’s largest handloom-focused hackathon, held at IIT Delhi, was organized to coincide with which day?",National Textile Day,National Handloom Day,National Innovation Day,National Startup Day,None of these,National Handloom Day
178,The Government of India recently launched the 1st phase of development projects under the “India–United Nations Global Capacity Building Initiative” for how many partner countries?,7,9,10,12,None of these,9
179,Prime Minister Narendra Modi recently inaugurated “Kartavya Bhavan” in Delhi. Which of the following ministries will be housed in this new building?,Ministry of Home Affairs,Ministry of External Affairs,Ministry of Rural Development,All of the above,None of these,All of the above
180,"Satya Pal Malik, who recently passed away at the age of 79, served as the Governor of which state/UT during the abrogation of Article 370?",Jammu & Kashmir,Bihar,Goa,Meghalaya,None of these,Jammu & Kashmir
181,"Hiroshima Day, observed on 6 August each year, marks the anniversary of which historic event?",Signing of the Comprehensive Nuclear Test Ban Treaty,Atomic bombing of Hiroshima by the US during World War II,End of the Korean War,Founding of the United Nations,None of these,Atomic bombing of Hiroshima by the US during World War II
182,"As per RBI’s final co-lending norms, what is the minimum loan share an entity must retain in its books under a CLA?",5%,8%,10%,12%,15%,10%
183,"IDFC First Bank, in collaboration with SingX, has launched a new digital remittance platform for NRIs. What is the name of this platform?",RemitFIRST2India,RemitNow2India,IndiaMoneyExpress,CrossPay India,None of these,RemitFIRST2India
184,IFC has committed $150 million as anchor investment in which HDFC- promoted fund?,HDFC Affordable Housing Fund,HDFC Mid-Income Housing Fund,H-DREAM Fund,HDFC Green Growth Fund,HDFC Realty Growth Fund,H-DREAM Fund
185,"Ant Financial recently sold its entire stake in which Indian company for around Rs.3,981 crore?",PhonePe,Paytm,Razorpay,BharatPe,PolicyBazaar,Paytm
186,Aadhaar Face Authentication recorded an all-time high in July 2025 with how many transactions?,5.77 crore,19.36 crore,39.56 crore,1.22 crore,2.36 crore,19.36 crore
187,What was LIC’s standalone net profit in Q1 FY26?,"Rs.10,461 crore","Rs.10,987 crore","Rs.11,200 crore","Rs.9,987 crore","Rs.12,030 crore","Rs.10,987 crore"
188,Which insurance company launched the “Shubh Shakti” term plan for women?,LIC,HDFC Life,Tata AIA Life Insurance,SBI Life,Max Life Insurance,Tata AIA Life Insurance
189,"As per RBI’s proposal, what is the minimum threshold limit for settlement of deceased customer deposit claims in accounts without a nominee?",Rs.10 lakh,Rs.12 lakh,Rs.20 lakh,Rs.15 lakh,Rs.25 lakh,Rs.15 lakh
190,Who was recently awarded the M.S. Swaminathan Award for Food and Peace at the M.S. Swaminathan Centenary International Conference in Delhi? l,Dr. Arenare,Dr. Norman Borlaug,Dr. Rattan Lal,Dr. Florence Wambugu,None of these,Dr. Arenare
191,"Recently, a previously unknown blood group named CRIB was identified in Karnatak",In which district was it discovered? A. Mysuru,Bengaluru,Kolar,Tumakuru,None of these,Kolar
192,"Which Indian city ranked 26th in the Global AI City Index 2025 and emerged as India’s leading hub for AI research, development, and data centres?",Mumbai,Delhi,Bengaluru,Chennai,Kolkata,Bengaluru
193,Which states/UTs have topped the India Electric Mobility Index (IEMI) 2024 launched by NITI Aayog?,"Delhi, Maharashtra, Chandigarh","Karnataka, Tamil Nadu, Gujarat","Delhi, Gujarat, Kerala","Maharashtra, Tamil Nadu, Punjab",None of these,"Delhi, Maharashtra, Chandigarh"
194,"Since its inception, the Mann Ki Baat programme has earned a revenue of how much?",Rs.24.13 crore,Rs.34.13 crore,Rs.44.13 crore,Rs.54.13 crore,Rs.58.76 crore,Rs.34.13 crore
195,The Union Cabinet has approved the implementation of the MERITE Scheme in 275 technical institutions. What is the primary objective of this scheme?,To provide free education to all engineering students,"To improve quality, equity and governance in technical education",To promote foreign collaborations in higher education,To construct new engineering colleges across India,None of these,"To improve quality, equity and governance in technical education"
196,"Where is the 25th Shanghai Cooperation Organization (SCO) summit, scheduled for August 31–September 1, 2025, going to be held?",Beijing,Tianjin,Shanghai,Wuhan,None of these,Tianjin
197,What is the name of Zepto’s newly launched 10-minute medicine delivery service?,Zepto Meds,Zepto Pharmacy,Zepto Health,Zepto QuickCare,Zepto MedExpress,Zepto Pharmacy
198,"The Union Cabinet recently approved Rs.30,000 crore compensation to three Public Sector Oil Marketing Companies (OMCs) for under-recoveries on sale of domestic LPG. Which of the following companies are included?",Indian Oil Corporation Limited (IOCL),Bharat Petroleum Corporation Limited (BPCL),Hindustan Petroleum Corporation Limited (HPCL),All of the above,None of these,All of the above
199,The Archery Association of India (AAI) recently announced the launch of which first-of-its-kind tournament in India?L,National Recurve Championship,Archery League,World Archery Cup,Indian Archery Premier Series,None of these,Archery League
200,"Which of the following statements is/are correct about the RS-28 Sarmat intercontinental ballistic missile, also known as ‘Satan 2’?
1. It is the world’s heaviest ICBM.
2. It has a range of 18,000 km.
3. It can carry up to 16 independently targetable nuclear warheads.
4. It is a solid-fueled missile.","1, 2, and 3 only",1 and 4 only,2 and 3 only,"1, 2, 3, and 4",1 and 2 only,"1, 2, and 3 only"
201,What is the name of India’s first privately-developed orbital launch vehicle whose stage-1 booster was successfully static tested by Skyroot Aerospace?,PSLV-C57,Vikram-1,Gaganyaan,SSLV-D2,None of these,Vikram-1
202,"Which of the following statements is/are correct about the Cancer AI & Technology Challenge (CATCH) Grant Program?
1. It is launched by IndiaAI Independent Business Division (IBD) in collaboration with the National Cancer Grid (NCG).
2. It provides up to Rs.50 lakh per project for selected teams.
3. Only clinical institutions are eligible to apply.
4. Successful pilots may get an additional scale-up grant of up to Rs.1 crore.","1, 2, and 4 only",1 and 3 only,2 and 3 only,"1, 2, 3, and 4",1 and 2 only,"1, 2, and 4 only"
203,"Mir Mohammed Ali, a 2011-batch IAS officer of the Kerala cadre, has been appointed as Director in which ministry?",Ministry of Power,Ministry of Petroleum & Natural Gas,Ministry of Electronics & IT,Ministry of New & Renewable Energy,None of these,Ministry of New & Renewable Energy
204,National Javelin Day is celebrated in India on which date to honour Neeraj Chopra’s Olympic gold medal win?,5 August,6 August,7 August,8 August,9 August,7 August
205,RBI recently imposed a ₹75 lakh penalty on which bank for non-compliance with regulations related to property valuation and current account rules?,HDFC Bank,Axis Bank,ICICI Bank,Punjab National Bank,State Bank of India,ICICI Bank
206,"Antfin Singapore Holding Private Limited divested a 1.46% stake in which company for Rs. 4,097 crore?",Paytm,Zomato,Eternal Limited,Blinkit,PhonePe,Eternal Limited
207,Which bank has signed an MoU with FSSAI to launch the ‘FSSAI Payment Solution’ platform?,State Bank of India,HDFC Bank,Bank of Baroda,ICICI Bank,None of these,Bank of Baroda
208,SBI’s Q1 FY26 net profit rose 12.5% year-on-year to what amount?,"₹25,000 crore","₹19,160 crore","₹41,072 crore","₹44,218 crore","₹78,040 crore","₹19,160 crore"
209,What is the proposed daily penalty for banks delaying settlement of safe deposit locker/article claims as per RBI’s draft circular?,"₹2,000 per day","₹3,000 per day","₹5,000 per day","₹10,000 per day","₹7,500 per day","₹5,000 per day"
210,Which two new features has RBI launched on its Retail Direct platform in August 2025?,SIP for Treasury Bills & Auto-Bidding Facility,Loan against Gold & UPI Bill Payments,e-KYC & Instant Loan Facility,NACH Payment & Cheque Truncation,None of these,SIP for Treasury Bills & Auto-Bidding Facility
211,The IFC has committed USD 150 million to which fund of HDFC Capital?,H-DREAM Fund,H-GREEN Fund,Affordable Housing Fund,Urban Growth Fund,None of the above,H-DREAM Fund
212,Which panchayat in Kerala was declared a ‘Living Lab’ for climate change under the ‘Heat Resilient Moodadi’ project?,Perambra Panchayat,Moodadi Panchayat,Beypore Panchayat,Vatakara Panchayat,Thamarassery Panchayat,Moodadi Panchayat
213,Which new job category has been added under MNREGA as per the latest government notification?,Road construction,Forest fire management,River dredging,Solar panel installation,Rural tourism infrastructure,Forest fire management
214,Who topped the Fortune 100 Most Powerful People in Business List 2025?,Satya Nadella,Jensen Huang,Mark Zuckerberg,Elon Musk,Mukesh Ambani,Jensen Huang
215,"What was India’s annual defence production in FY 2024–25, marking an all- time high?","₹ 1,50,590 crore","₹1,27,000 crore","₹ 1,25,000 crore","₹1,45,800 crore","₹1,40,500 crore","₹ 1,50,590 crore"
216,Which organisation has proposed the SWAGAT-FI single-window gateway for trusted foreign investors?,RBI,SEBI,IRDAI,NITI Aayog,NABARD,SEBI
217,"What is the premature redemption price of SGB due on August 11, 2025?","₹9,950","₹10,000","₹10,070","₹10,100","₹10,500","₹10,070"
218,What is the length of Asia’s longest freight train ‘Rudrastra’ tested by Indian Railways in 2025?,4 km,4.5 km,5 km,3.8 km,4.2 km,4.5 km
219,Which two key maritime laws were passed by India’s Parliament in 2025 to modernise the shipping sector?,Maritime Trade Bill 2025 & Coastal Shipping Bill 2024,Indian Ports Bill 2025 & Merchant Trade Bill 2024,Merchant Shipping Bill 2024 & Carriage of Goods by Sea Bill 2025,Sea Transport Bill 2025 & Cargo Bill 2024,Shipping Development Bill 2025 & Maritime Reform Bill 2024,Merchant Shipping Bill 2024 & Carriage of Goods by Sea Bill 2025
220,What was the Gross Merchandise Value (GMV) achieved by Government e Marketplace (GeM) in FY 2024–25?,₹4.8 lakh crore,₹5.4 lakh crore,₹5.0 lakh crore,₹6.1 lakh crore,₹4.5 lakh crore,₹5.4 lakh crore
221,"Under the approved PMUY subsidy for FY26, what is the per-cylinder subsidy amount for a 14.2 kg LPG cylinder?",₹200,₹250,₹300,₹350,₹400,₹300
222,Which major transit corridor was announced in the Armenia–Azerbaijan peace deal signed at the White House?,Caucasus Peace Corridor,Trump Route for International Peace and Prosperity,Eurasia Trade Link,Caspian Gateway,Black Sea Economic Corridor,Trump Route for International Peace and Prosperity
223,Who became the first Indian surfer to reach the final of the Asian Surfing Championship?,Kishore Kumar,Shidong Wu,Pajar Ariyana,Ramesh Budihal,Mega Artana,Ramesh Budihal
224,In which country did India’s Annu Rani win gold in women’s javelin throw at the International Wiesław Maniak Memorial in 2025?,Turkey,Australia,Poland,Germany,France,Poland
225,Where is BPCL’s upcoming greenfield refinery-cum-petrochemical complex (RcPC) located?,Machilipatnam,Mulpeta,Ramaayapatnam,Kakinada,Srikakulam,Ramaayapatnam
226,"The Union Cabinet approved four new components under the Special Development Packages (SDPs) for which two North Eastern states with a total outlay of ₹4,250 crore?",Assam and Meghalaya,Tripura and Nagaland,Assam and Tripura,Manipur and Assam,Mizoram and Tripura,Assam and Tripura
227,The U.S. dropped an atomic bomb on Nagasaki on which date?,6 August 1945,8 August 1945,9 August 1945,12 August 1945,15 August 1945,9 August 1945
228,On which date was World Sanskrit Day 2025 observed?,6 August 2025,7 August 2025,9 August 2025,12 August 2025,10 August 2025,9 August 2025
229,Where will the main event of World Lion Day 2025 be held?,Gir National Park,Barda Wildlife Sanctuary,Velavadar National Park,Sasan Gir,Kuno National Prk,Barda Wildlife Sanctuary
230,Which district hosted Indian Bank’s ‘Financial Inclusion Saturation Program’?,Kanchipuram,Tiruvallur,Madurai,Coimbatore,Salem,Tiruvallur
231,On which date did India’s UPI record over 707 million transactions in a single day?,1 August 2025,2 August 2025,15 July 2025,31 July 2025,5 August 2025,2 August 2025
232,"What is the new minimum average monthly balance for ICICI Bank savings accounts in metros and urban areas (effective Aug 1, 2025)?","₹10,000","₹25,000","₹50,000","₹5,000","₹40,000","₹50,000"
233,"Under which scheme will ₹3,200 crore crop insurance claims be digitally transferred to 3 million farmers?",PM-KISAN,PMFBY,RKVY,NFSM,PM-AASHA,PMFBY
234,Which group recently received a non-deposit taking NBFC license from the Reserve Bank of India to launch its lending unit ‘Equirus Finance’?,Edelweiss Group,Equirus Group,Bajaj Finserv,L&T Finance,IIFL Finance,Equirus Group
235,Which organisation launched the “Work for Viksit Bharat” portal to recruit professionals for national development projects?,Ministry of Labour & Employment,NITI Aayog,Ministry of Skill Development & Entrepreneurship,Ministry of Home Affairs,Invest India,NITI Aayog
236,Who was the first recipient of the Param Vir Chakra of Independent India?,Field Marshal Sam Manekshaw,Brigadier Mohammad Usman,Major Somnath Sharma,K.M. Cariappa,Arjan Singh,Major Somnath Sharma
237,What is the theme of the Bharat Ratna Dr. M.S. Swaminathan Centenary International Conference 2025?,Green Revolution – The Path to Prosperity,Evergreen Revolution – The Path to Bio-Happiness,Food Security for All,Sustainable Agriculture – A Way Forward,Hunger-Free World,Evergreen Revolution – The Path to Bio-Happiness
238,"Under Chhattisgarh’s new ‘Gaudham’ scheme, how much monthly honorarium will be given to cattle grazers?","₹9,500","₹10,916","₹12,000","₹8,750","₹11,500","₹10,916"
239,What is India’s rank in the mid-2025 Numbeo Safety Index?,49th,55th,67th,74th,88th,67th
240,The recently approved “Atal Bihari Vajpayee-Chevening Scholarship” will support students from which state to pursue higher education in the UK?,Madhya Pradesh,Bihar,Uttar Pradesh,Rajasthan,Haryana,Uttar Pradesh
241,The Government of India decided to withdraw the draft Digital Competition Bill mainly because:,Lack of parliamentary approval,Over-reliance on turnover thresholds to define SSDE,Budget constraints,Absence of digital market players in India,Conflict with state laws,Over-reliance on turnover thresholds to define SSDE
242,Which Indian football club won the U-14 Norway Cup 2025 with a 14-1 victory in the final?,Bengaluru FC,Mohun Bagan SG,Minerva Academy FC,Kerala Blasters FC,Churchill Brothers FC,Minerva Academy FC
243,What is the maximum cashless treatment amount provided under the Cashless Treatment of Road Accident Victims Scheme 2025?,₹1 lakh,₹1.25 lakh,₹1.5 lakh,₹2 lakh,₹2.5 lakh,₹1.5 lakh
244,"Tendong Lho Rum Faat, recently celebrated in Sikkim, is a traditional festival of which tribe?",Bhutia Tribe,Lepcha Tribe,Limboo Tribe,Sherpa Tribe,Memba Tribe,Lepcha Tribe
245,"ISRO will soon launch a 6,500 kg communication satellite built by which country?",Russia,USA,France,Japan,UK,USA
246,Which village in rural Nagpur is leading India’s rural digital transformation initiative?,Katol,Satnavri,Umred,Kalmeshwar,Narkhed,Satnavri
247,When did INS Sandhayak enter Singapore for its maiden visit?,15 Aug 2025,26 Jan 2025,5 Aug 2025,1 Feb 2024,9 Aug 2025,9 Aug 2025
248,Indian Naval Ships Udaygiri and Himgiri are part of which project?,Project 75,Project 17A,Project 28,Project 15B,None of these,Project 17A
249,What is the total length of the newly inaugurated Bengaluru Metro Yellow Line?,15.25 km,19.15 km,22.40 km,25.10 km,44.65 km,19.15 km
250,Who is the author of the book The Conscience Network?,Ramachandra Guha,Sugata Srinivasaraju,Shashi Tharoor,Arundhati Roy,Jairam Ramesh,Sugata Srinivasaraju
251,"Where will the ₹1,800-crore ‘Brahma–BEML Rail Manufacturing Hub’ be established?","Bhopal, Madhya Pradesh","Umaria village, Obedullaganj","Nagpur, Maharashtra","Vadodara, Gujarat","Gwalior, Madhya Pradesh","Umaria village, Obedullaganj"
252,When is World Tribal Day (International Day of the World’s Indigenous People) observed every year?,5 June,9 August,12 October,21 March,15 July,9 August
253,Which bank has partnered with VinFast Auto in India to provide auto and inventory financing for its exclusive dealer network?,ICICI Bank,Axis Bank,HDFC Bank,State Bank of India,Kotak Mahindra Bank,HDFC Bank
254,Why did the Central Bank of the UAE (CBUAE) suspend motor insurance operations of Oriental Insurance Company (OIC) in Dubai?,Due to financial losses,Due to non-compliance with regulatory requirements,Due to a merger with another company,Due to low customer base,Due to cyber security issues,Due to non-compliance with regulatory requirements
255,What was the year-on-year growth in net profit of Public Sector Banks in Q1 FY26?,8.2%,9.5%,10.6%,11.8%,12.4%,10.6%
256,"As of 2025, what is the government’s stake in Life Insurance Corporation of India (LIC)?",90%,93.85%,94.61%,96.5%,89.27%,96.5%
257,The first International Manuscript Heritage Conference in India will commemorate which historic event?,Mahatma Gandhi’s Dandi March,Rabindranath Tagore’s Nobel Prize,Swami Vivekananda’s Chicago Address,First Indian Census,Establishment of Nalanda UniversLity,Swami Vivekananda’s Chicago Address
258,Which award did Terminal 2 of Lokpriya Gopinath Bordoloi International Airport win in 2025?,International Green Building Award,International Architectural Award in Transport Category,World Travel Award,Global Airport Excellence Award,UNESCO Heritage Architecture Award,International Architectural Award in Transport Category
259,What is the purpose of the National Sports Governance Bill passed in Lok Sabha?,To provide free sports facilities to all citizens,To regulate various sports administrators and federations in India,To promote traditional sports only,To privatize all sports federations,To merge all sports federations under one body,To regulate various sports administrators and federations in India
260,What is the purpose of Punjab’s newly launched ‘Baaj Akh’ Anti-Drone System?,To monitor weather patterns,To curb cross-border drug smuggling,To enhance agricultural productivity,To track wildlife movement,To assist in disaster management,To curb cross-border drug smuggling
261,"Which Indian Naval Ship recently completed a port call at Casablanca, Morocco?",INS Tushil,INS Sunayak,INS Tamal,INS Vikrant,INS Kolkata,INS Tamal
262,"As of August 2025, how many unorganised workers have registered on the e- Shram portal?",25.87 crore,28.56 crore,30.98 crore,32.10 crore,29.45 crore,30.98 crore
263,What is the mascot of the 71st Nehru Trophy Boat Race (NTBR) depicting?,A kingfisher flying over water,A drongo (Kakkathampuratti) rowing a canoe,A dolphin jumping out of the lake,A snake boat racing,A fisherman casting Lnet,A drongo (Kakkathampuratti) rowing a canoe
264,Which country has been declared free of sleeping sickness by WHO?,Uganda,Kenya,Tanzania,Nigeria,Ghana,Kenya
265,Flipkart recently launched the ‘Gourmet’ category under which service?,Flipkart Express,Flipkart Now,Flipkart Minutes,Flipkart Plus,Flipkart Fresh,Flipkart Minutes
266,Where is the Indian Army organizing the drone competition Surya Dronnathan 2025?,"Leh, Ladakh","Sumdo, Spiti Valley, Himachal Pradesh","Gangtok, Sikkim","Dehradun, Uttarakhand","Jaipur, Rajasthan","Sumdo, Spiti Valley, Himachal Pradesh"
267,Which global tech companies has BSNL signed MoUs with for advanced skilling programs?,"Ericsson India, Qualcomm, Cisco, Nokia","Intel, IBM, Microsoft, Huawei","Samsung, Google, TCS, Infosys","Oracle, Dell, HP, Lenovo","Apple, Sony, Ericsson, Cisco","Ericsson India, Qualcomm, Cisco, Nokia"
268,The recent gain in mangrove cover in West Bengal is largely attributed to which programmes?,Green India Mission & ICZM,MISHTI & CAMPA–MGNREGS,CRZ & Project Tiger,National Afforestation Programme & REDD+,Blue Carbon Initiative & ICZM,MISHTI & CAMPA–MGNREGS
269,What is the key feature of the Indian Railways’ experimental Round Trip Package scheme?,Free meals on return journey,20% rebate on the base fare of the return journey,Complimentary travel insurance,Priority boarding for festive season travelers,Free Wi-Fi on trains,20% rebate on the base fare of the return journey
270,What is the theme of International Youth Day 2025?,Youth for Climate Action,Local Youth Actions for the SDGs and Beyond,Empowering Rural Youth,Youth and Technology,Global Youth Leadership,Local Youth Actions for the SDGs and Beyond
271,Which bank has won the Apex Bank award for the 23rd time for its performance in 2023–24?,Karnataka State Apex Cooperative Bank,South Canara District Central Cooperative Bank,Mysuru District Cooperative Bank,Tumkur District Central Cooperative Bank,Dharwad District Central Cooperative Bank,South Canara District Central Cooperative Bank
272,UIDAI recently celebrated a milestone in digital authentication by recording how many crore Face Authentication transactions?,50 crore,100 crore,150 crore,200 crore,250 crore,200 crore
273,Bank of Baroda recently launched which UPI application to enable seamless and secure cross-border digital payments?,bob Global Pay,bob UPI World,bob International,bob e-Pay,bob CrossPay,bob e-Pay
274,"On 8 August 2025, SEBI removed the transaction fee for which participants in mutual funds?",Stock brokers,Mutual fund distributors,Insurance agents,Portfolio managers,Commodity traders,Mutual fund distributors
275,Which bank has partnered with CAMSPay to launch a new digital payment gateway for Indian enterprises?,HDFC Bank,ICICI Bank,Axis Bank,RBL Bank,Kotak Mahindra Bank,RBL Bank
276,What was the total value of bad loans written off by PSBs in the last five years?,₹4.25 lakh crore,₹5.82 lakh crore,₹6.25 lakh crore,₹7.15 lakh crore,₹8.05 lakh crore,₹5.82 lakh crore
277,"What was India’s retail inflation rate in July 2025, the lowest since June 2017?",2.10%,4.00%,1.55%,0.95%,2.04%,1.55%
278,"Under the Incredible India Homestay Establishments scheme, homestays in India are classified into how many categories?",One,Two,Three,Four,Five,Two
