Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
163,Who has been appointed as a judge of the Supreme Court of India as per the latest Union government notification?,Justice Joymalya Bagchi,Justice Sanjay Karol,Justice Abhay Oka,Justice BR Gavai,Justice Dipankar Dutta,Justice Joymalya Bagchi
164,Which three countries will not participate in the 2026 FIFA World Cup due to separate controversies?,"Germany, Japan, and South Korea","Argentina, Iran, and Nigeria","Russia, Pakistan, and Congo","Italy, Brazil, and France","Ukraine, Egypt, and Chile","Russia, Pakistan, and Congo"
165,"Majhi Ladki Behan Yojana, which was in the news recently, is related to which state?",Uttar Pradesh,Gujarat,Rajasthan,Maharashtra,Madhya Pradesh,Maharashtra
166,What is the rank of Amul in YouGov India Value Rankings 2025 Published by YouGov India ?,1st,2nd,3rd,4th,5th,3rd
167,The Centre declared the Madhav National Park in Madhya Pradesh as the country’s ____ tiger reserve.,55th,56th,57th,58th,59th,58th
168,Which state government has launched Project Hifazat to protect women from violence?,Himachal Pradesh,Maharashtra,Goa,Punjab,Gujarat,Punjab
169,Which state Names Electronics City After Ratan Tata ?,Assam,Meghalaya,Tripura,Manipur,Arunachal Pradesh,Assam
170,Which veteran leader and former Minister from the Biju Janata Dal (BJD) recently passed away?,Ananta Das,Naveen Patnaik,Baijayant Panda,Damodar Rout,Bhartruhari Mahtab,Ananta Das
171,International Day of Women Judges celebrated every year on which day ?,10 March,11 March,12 March,13 March,14 March,10 March
172,What is the monthly scholarship amount provided under the ‘Scholarships to Young Artists in Different Cultural Fields (SYA)’ scheme?,"Rs.3,000","Rs.5,000","Rs.7,500","Rs.10,000","Rs.12,000","Rs.5,000"
173,Which bank Renew MoU with Indian Army and CSC Academy to Expand Project NAMAN ?,HDFC Bank,Karnataka Bank,Bank of baroda,Canara Bank,Bank of Maharashtra,HDFC Bank
174,Where was the 29th Meeting of the Standing Advisory Committee (SAC) on MSME credit flow held?,Bengaluru,New Delhi,Guwahati,Ahmedabad,Mumbai,Ahmedabad
175,Which insurance company Launched SheTARA campaign ?,Bajaj Allianz General Insurance,ICICI Prudential Life Insurance,Kotak Mahindra Life Insurance,Go Digit General Insurance,Star Health Insurance,Star Health Insurance
176,Which company has become the first private reinsurer in India to receive IRDAI approval?,GIC Re,HDFC Ergo,Valueattics Re,ICICI Lombard,None of these,Valueattics Re
177,Under which initiative will RBI set up an on-tap cohort on climate change risks?,Green Finance Program,Regulatory Sandbox,Sustainable Banking Mission,Climate Risk Fund,None of these,Regulatory Sandbox
178,Which UPI app recorded the highest number of transactions in February 2025?,Google Pay,Paytm,PhonePe,Super.money,Cred,PhonePe
179,"Which organisation has launched DesignShaala™, an initiative aimed at promoting financial innovation through Human-Centered Design (HCD) ?",National Payments Corporation of India (NPCI),Small Industries Development Bank of India (SIDBI),Reserve Bank Innovation Hub (RBIH),Securities and Exchange Board of India (SEBI),Indian Banks’ Association (IBA),Reserve Bank Innovation Hub (RBIH)
180,The Digital Payments Awareness Week (DPAW) is part of which RBI initiative?,UPI Expansion Mission,Secure Banking for All,Har Payment Digital,Digital Economy Drive,FinTech Revolution,Har Payment Digital
181,Which Russian company is acquiring a stake in an Indian alumina refinery?,Gazprom,Rosneft,Rusal,Norilsk Nickel,None of these,Rusal
182,What is the theme of the Commonwealth Games Federation’s rebranding campaign?,Unity in Sports,"One World, One Game",More in Common,Sports Without Borders,Stronger Together,More in Common
183,India conduct Exercise BONGOSAGAR and ‘Coordinated Patrol’ (CORPAT) with which country ?,Sri Lanka,Nepal,Bhutan,Bangladesh,None of these,Bangladesh
184,"PM Surya Ghar: Muft Bijli Yojana (PMSGMBY), the world’s largest domestic rooftop solar initiative. Which of the following Union Territories has achieved 100% rooftop solar installation on government buildings?",Delhi and Chandigarh,Chandigarh and Daman & Diu,Andaman & Nicobar Islands,Lakshadweep and Chandigarh,Puducherry and Daman & Diu,Chandigarh and Daman & Diu
185,Which country won the 6th Edition of the Asian Women’s Kabaddi Championship?,Iran,South Korea,India,Japan,Bangladesh,India
186,"Which country tops the Report Trends in International Arms Transfers, 2024 Published by Stockholm International Peace Research Institute (SIPRI) ?",Japan,Argentina,Russia,Brazil,Ukraine,Ukraine
187,When was e-Shram portal launched by Ministry of Labour and Employment ?,2019,2020,2021,2022,2023,2021
188,Where will the Multi-Modal Logistics Park (MMLP) be developed?,"Kanpur, Uttar Pradesh","Varanasi, Uttar Pradesh","Patna, Bihar","Bhubaneswar, Odisha","Indore, Madhya Pradesh","Varanasi, Uttar Pradesh"
189,What is the new official name of India’s Astra MK-III missile?,Vajra,Gandiva,Pinaka,Trishul,Brahmastra,Gandiva
190,What was India’s retail inflation rate in February 2025?,2.80%,3.20%,3.60%,3.80%,4.20%,3.60%
191,Why is the RBI issuing new Rs.100 and Rs.200 banknotes?,To introduce new security features,To change the design of Indian currency,To commemorate a special occasion,To replace old banknotes,As a routine process following the appointment of a new RBI Governor,As a routine process following the appointment of a new RBI Governor
192,"How much capital can Power Finance Corporation raise using Zero Coupon Bonds, as per the Finance Ministry's notification?",Rs.10000 crore,Rs.15000 crore,Rs.18000 crore,Rs.20000 crore,Rs.22000 crore,Rs.10000 crore
193,What was the total number of digital payment transactions in FY 2023-24?,"8,839 crore","13,116 crore","20,000 crore","18,737 crore","15,432 crore","18,737 crore"
194,"What is the final redemption price set by RBI for Sovereign Gold Bonds (SGBs) maturing on March 17, 2025?","Rs.7,500","Rs.8,000","Rs.8,624","Rs.9,200","Rs.9,500","Rs.8,624"
195,Which organization awarded RBI the Digital Transformation Award 2025?,International Monetary Fund (IMF),World Bank,"Central Banking, London",Financial Action Task Force (FATF),Bank for International Settlements (BIS),"Central Banking, London"
196,Which ministry launched India’s first Exploration Licence (EL) auction?,Union Ministry of Housing and Urban Affairs,Union Ministry of Education,Union Ministry of Skill Development and Entrepreneurship,Union Ministry of Mines,Union Ministry of Jal Shakti,Union Ministry of Mines
197,How many new sites from India were added to UNESCO's tentative World Heritage List in March 2024?,3,4,5,6,7,6
198,Which team won the WPL 2025 title?,Delhi Capitals,Mumbai Indians,Royal Challengers Bangalore,UP Warriorz,Gujarat Giants,Mumbai Indians
199,Chandrayaan-5 mission is also known as?,Mangalyaan-2,LUPEX,AstroLunar,Vikram Rover,None of the above,LUPEX
200,Raisina Dialogue is associated with which field?,Technology & Innovation,Geopolitics & Geo-economics,Space Exploration,Climate Change,None of the above,Geopolitics & Geo-economics
201,Which organization showcased India’s agricultural and processed food excellence at AAHAR 2025?,Food Safety and Standards Authority of India (FSSAI),Agricultural and Processed Food Products Export Development Authority (APEDA),Ministry of Agriculture & Farmers Welfare,Confederation of Indian Industry (CII),Indian Council of Agricultural Research (ICAR),Agricultural and Processed Food Products Export Development Authority (APEDA)
202,Which ministry is responsible for launching the PM-YUVA 3.0 initiative?,Ministry of Culture,Ministry of Youth Affairs and Sports,Ministry of Education,Ministry of Information and Broadcasting,Ministry of External affairs,Ministry of Education
203,Which Indian naval vessel arrived in Mauritius ahead of the country’s 57th National Day celebrations?,INS Vikrant,INS Kolkata,INS Imphal,INS Chennai,INS Arihant,INS Imphal
204,"Which organization has signed a Rs.2,906 crore contract with the Ministry of Defence for the procurement of Low-level Transportable Radar (LLTR)?",Hindustan Aeronautics Limited,Bharat Heavy Electricals Limited,Indian Railways Finance Corporation,RailTel Corporation of India Limited,Bharat Electronics Limited,Bharat Electronics Limited
205,Which Union Minister launched the Prime Minister Internship Scheme (PMIS) app?,Nirmala Sitharaman,Hardeep Singh Puri,Piyush Goyal,Rajnath Singh,Dharmendra Pradhan,Nirmala Sitharaman
206,"The Department of Biotechnology (DBT) and which government signed a landmark MoU under the BioE3 (Biotechnology for Economy, Environment, and Employment) Policy ?",Assam,Meghalaya,Tripura,Manipur,Arunachal Pradesh,Assam
207,"What is the main objective of the ""Digital Address Code"" initiative undertaken by the Department of Posts?",To develop a new postal code system,"To establish a standardized, geo-coded addressing system in India",To replace PIN codes with QR codes,To create a private addressing database,To introduce digital payment solutions for postal services,"To establish a standardized, geo-coded addressing system in India"
208,When did the National Archives of India (NAI) celebrate its 135th Foundation Day?,10 March,11 March,12 March,13 March,14 March,11 March
209,"Which organization, along with RBI, has launched nationwide financial literacy campaigns?",SEBI,NABARD,National Centre for Financial Education (NCFE),Ministry of Finance,NITI Aayog,National Centre for Financial Education (NCFE)
210,Where is the Headquarter of Kuhoo Finance Private Limited ?,Bengaluru,New Delhi,Guwahati,Ahmedabad,Mumbai,Mumbai
211,"HDFC Bank is selling Rs.1,028 crore bad loans through which auction method?",Open Auction,Swiss Challenge,Reverse Auction,Online Bidding,Direct Negotiation,Swiss Challenge
212,"Who brings Gemma 3 open model to compete with Meta’s Llama, DeepSeek V3 ?",Microsoft,Tinder,Meta,Google,Amazon,Google
213,Mission Amrit Sarovar launched in which year ?,2019,2020,2021,2022,2023,2022
214,Which state/UT recently signed an MoU with the National Health Authority (NHA) to implement AB-PMJAY and become 35th state/UT to adopt the scheme ?,Punjab,Delhi,Tamil Nadu,Karnataka,Rajasthan,Delhi
215,Which team topped the medal tally of Khelo India Winter Games 2025 ?,Ladakh,Tamil Nadu,Himachal Pradesh,Maharashtra,Army,Army
216,Alana King have won the ICC Women’s Player of the Month awards for February 2025. Which country does Alana King represent?,England,New Zealand,Australia,South Africa,Pakistan,Australia
217,"When was the Oilfield (Regulatory and Development) Amendment Bill, 2024 passed by the Rajya Sabha?",1st January 2025,26th November 2024,3rd December 2024,15th February 2025,10th October 2024,3rd December 2024
218,Who has been appointed as the captain of Delhi Capitals for the upcoming IPL season?,Rishabh Pant,KL Rahul,Prithvi Shaw,Axar Patel,David Warner,Axar Patel
219,Who launched the ‘UN80 Initiative’ to enhance efficiency within the United Nations?,Joe Biden,Antonio Guterres,Jens Stoltenberg,Ursula von der Leyen,Kristalina Georgieva,Antonio Guterres
220,Which country tops World Air Quality Report 2024 Published by Switzerland based air quality technology company IQAir ?,Namibia,Lebanon,Uruguay,Chad,Haiti,Chad
221,Who won the Ramsar Award for ‘Wetland Wise Use’ in 2024?,Medha Patkar,Jayshree Vencatesan,Sunita Narain,Vandana Shiva,Maneka Gandhi,Jayshree Vencatesan
222,"""Gyandhara"" initiative, which aims to introduce VR metaverse in PM SHRI schools, is being developed by which institution?",IIT Guwahati,IIT Delhi,IIT Madras,IIT Indore,IIT Roorkee,IIT Guwahati
223,Which Indian hockey player won the 'Goalkeeper of the Year' award at the 7th Hockey India Annual Awards 2024?,PR Sreejesh,Savita Punia,Harmanpreet Singh,Manpreet Singh,Amit Rohidas,Savita Punia
224,"How many new moons were recently discovered around Saturn, making it the planet with the most moons in the solar system?",90,100,113,128,136,128
225,"Which Chinese company recently launched two new AI models, including a reasoning-focused model?",Tencent,Alibaba,Huawei,Baidu,DeepSeek,Baidu
226,Where has the first-ever temple of Chhatrapati Shivaji Maharaj been inaugurated?,Pune,Nashik,Bhiwandi,Kolhapur,Mumbai,Bhiwandi
227,World Consumer Rights Day on which day ?,10 March,11 March,12 March,14 March,15 March,15 March
228,World Sleep Day is observed annually on which day ?,10 March,11 March,12 March,13 March,14 March,14 March
229,Pi Day is celebrated annually on which day ?,10 March,11 March,12 March,13 March,14 March,14 March
230,"According to Morgan Stanley, by which year will India become the world’s third-largest economy?",2027,2028,2029,2030,2031,2028
231,Which company owns the flagship payment gateway brand CCAvenue?,Infibeam Avenues Ltd,BillDesk,Paytm,PayU,Razorpay,Infibeam Avenues Ltd
232,Which private sector bank has introduced a Goods and Services Tax (GST) payment facility?,HDFC Bank,IDFC First Bank,Dhanlaxmi Bank,RBL Bank,Yes Bank,Yes Bank
233,"Who has signed a MoU with Jammu -based J&K Grameen Bank for the promotion and financing of 2,000 Joint Liability Groups (JLGs) ?",SEBI,NABARD,National Centre for Financial Education (NCFE),Ministry of Finance,NITI Aayog,NABARD
234,What was the Wholesale Price Index (WPI) inflation rate in February 2024?,3.60%,2.30%,2.40%,5.90%,7.50%,2.40%
235,Karur Vysya Bank (KVB) recently expanded its branch network to how many total branches?,480,580,680,780,880,880
236,Which of the following is NOT an option available under Tata AIA Shubh Flexi Income Plan?,Endowment Option,Early Income Option,Deferred Income Option,Guaranteed Double Benefit Option,None of the above,Guaranteed Double Benefit Option
237,What is the primary objective of ADB's 'Frontier Seed (Pacific)' initiative?,Providing large-scale infrastructure financing,Supporting SMEs with funding and technical assistance,Developing digital payment solutions,Expanding trade agreements among Pacific nations,None of the above,Supporting SMEs with funding and technical assistance
238,Who is the author of the book Rice: A Global History?,Renee Marton,Chitra Narayanan,Amartya Sen,Sudha Murthy,Vikram Seth,Renee Marton
239,Which publisher released the book The Sona Story?,Penguin Random House,HarperCollins,Bloomsbury,Reaktion Books,Rupa Publications,Bloomsbury
240,Alphabet has announced the acquisition of which cloud-security startup for $32 billion?,CrowdStrike,Wiz,Zscaler,Mandiant,Palo Alto Networks,Wiz
241,What was the theme of the Mobile World Congress (MWC) 2025?,Future of Connectivity,Digital Innovation,AI in Telecom,Converge. Connect. Create.,Smart Technology for a Better Future,Converge. Connect. Create.
242,How much funding has the government announced for the creator’s economy ahead of WAVES 2025?,$450 million,$600 million,$750 million,$1 billion,$3 billion,$1 billion
243,"Which organization, along with the National Water Mission (NWM), organized the ""Water Sustainability Conference 2025""?",Central Water Commission (CWC),The Energy and Resources Institute (TERI),National Green Tribunal (NGT),NITI Aayog,"Ministry of Environment, Forest and Climate Change",The Energy and Resources Institute (TERI)
244,Mukhyamantri Balika Samridhi Yojana and the Mukhyamantri Kanya Atmanirbhar Yojana two new welfare schemes for female children announced in which state ?,Tripura,Jammu and Kashmir,Nagaland,Bihar,Chhattisgarh,Tripura
245,When was Prasar Bharati’s Shared Audio-Visuals for Broadcast and Dissemination (PB-SHABD) launched?,January 2023,March 2024,December 2022,August 2021,April 2025,March 2024
246,Where was the 353rd Governing Body meeting of the International Labour Organisation (ILO) held?,"Paris, France","Cali, Colombia","Rome, Italy","Geneva, Switzerland","Nairobi, Kenya","Geneva, Switzerland"
247,Where was the final match of the 15th Hockey India Senior Women National Championship 2025 held?,"Kalinga Stadium, Odisha","Major Dhyan Chand Stadium, Delhi","Tau Devi Lal Complex, Haryana","Birsa Munda Hockey Stadium, Jharkhand","Guru Nanak Stadium, Punjab","Tau Devi Lal Complex, Haryana"
248,Which two countries participated in the 1st Joint Working Group (JWG) meeting on Agriculture?,India and Brazil,India and Argentina,India and Chile,India and Peru,India and Mexico,India and Chile
249,Which of the following organizations collaborated with ISRO to develop the 32-bit microprocessors Vikram 3201 and Kalpana 3201?,DRDO,Semiconductor Laboratory (SCL),IIT Madras,BEL,HAL,Semiconductor Laboratory (SCL)
250,What is the primary objective of the MoU signed between RBI and Bank of Mauritius?,Facilitating the use of local currencies for cross-border transactions,Promoting cryptocurrency exchanges between the two nations,Setting up a new international payment system,Creating a common currency for the SAARC region,None of the above,Facilitating the use of local currencies for cross-border transactions
251,"Who published the Report on Trends and Progress of Housing in India, 2024 ?",Reserve Bank of India (RBI),State Bank of India (SBI),NPCI International Payments Limited (NIPL),Insurance Regulatory and Development Authority of India (IRDAI),National Housing Bank (NHB),National Housing Bank (NHB)
252,Piramal Finance has partnered with which bank to Expand Credit Access for middle and low-income borrowers ?,Karnataka Bank,Central Bank of India,Indian Overseas Bank,Union Bank of India,Punjab & Sind Bank,Punjab & Sind Bank
253,Which bank has partnered with Sunrisers Hyderabad as their exclusive banking partner?,City Union Bank,Indian Overseas Bank,Bank of India,Karnataka Bank,CSB Bank,City Union Bank
254,Which organization is responsible for administering the ADB Frontier Seed (Pacific) technical assistance program?,World Bank,IMF,Asian Development Bank,United Nations,WTO,Asian Development Bank
255,"Recently, which bank has started accepting deposits under the Senior Citizens’ Savings Scheme (SCSS)?",HDFC Bank,IDFC First Bank,Dhanlaxmi Bank,RBL Bank,Yes Bank,HDFC Bank
256,IIFL Finance established in which year ?,1980,1985,1990,1995,1999,1995
257,"SATYA MicroCapital Ltd, a NBFC-MFI committed to promoting entrepreneurship and financial independence, has unveiled an ambitious goal of reaching 10 million households by __.",2026,2027,2028,2029,2030,2030
258,What is the primary objective of SEBI’s partnership with DigiLocker?,To promote digital banking,To reduce unclaimed assets in the securities market,To regulate stock trading,To provide insurance for investors,None of these,To reduce unclaimed assets in the securities market
259,How much stake is Allianz selling in Bajaj Allianz General and Life Insurance JVs?,51%,49%,26%,75.06%,19.95%,26%
260,How much loan amount was written off by scheduled commercial banks between FY15 and FY24?,Rs.10 lakh crore,Rs.12 lakh crore,Rs.14 lakh crore,Rs.16 lakh crore,Rs.18 lakh crore,Rs.16 lakh crore
261,Which edition of the Kabaddi World Cup 2025 being held in England ?,1st,2nd,3rd,4th,5th,2nd
262,Who has been appointed as the CEO of the Anusandhan National Research Foundation (ANRF)?,Dr. Abhay Karandikar,Dr. Raghunath Mashelkar,Dr. Shivkumar Kalyanaraman,Dr. K. Radhakrishnan,Dr. Vijay Raghavan,Dr. Shivkumar Kalyanaraman
263,What is the total revised outlay for the Rashtriya Gokul Mission approved by the Cabinet?,Rs.1400 Crore,Rs.2400 Crore,Rs.3400 Crore,Rs.2000 Crore,Rs.2600 Crore,Rs.3400 Crore
264,What is the purpose of the MoU signed between India and Qatar?,Cooperation in the field of oil and gas,Strengthening financial and economic cooperation,Enhancing defense and security collaboration,Promoting cultural exchange programs,Developing a free trade agreement (FTA),Strengthening financial and economic cooperation
265,Which cricketer led India Masters clinched the inaugural International Masters League T20 title beating Brian Lara’s West Indies Masters at the Shaheed Veer Narayan Singh International Stadium in Raipur ?,Rahul Dravid,MS Dhoni,Sachin Tendulkar,Sunil Gavaskar,Anil Kumble,Sachin Tendulkar
266,Which sport was recently approved by the IOC board for inclusion in the 2028 Los Angeles Olympics?,Tennis,Shotput,Badminton,Boxing,Archery,Boxing
267,What is the total investment approved for the JNPA connectivity Greenfield Highway?,Rs.1500 Crore,Rs.2500 Crore,Rs.3500 Crore,Rs.4500 Crore,Rs.5500 Crore,Rs.4500 Crore
268,How much has Standard Chartered raised through its first social bond?,1 billion euros,2 billion euros,3 billion euros,4 billion euros,5 billion euros,1 billion euros
269,In which category was Ramakanta Rath honored with the Padma Bhushan award?,Literature and Education,Public Administration,Social Work,Science and Technology,Journalism,Literature and Education
270,National Ordnance Factories Day Observed annually on which day ?,17 March,18 March,19 March,20 March,21 March,18 March
271,How much total incentive has the government approved for banks under the UPI incentive scheme for FY 2024-25?,"Rs.1,000 crore","Rs.1,500 crore","Rs.2,000 crore","Rs.3,631 crore","Rs.5,000 crore","Rs.1,500 crore"
272,How much stake will Bain Capital acquire in Manappuram Finance initially?,10%,12%,16%,18%,20%,18%
273,"What was the total issuance of Certificates of Deposits (CDs) by banks in FY25 (up to March 7, 2025)?",Rs.7.89 lakh crore,Rs.9.25 lakh crore,Rs.10.58 lakh crore,Rs.12.10 lakh crore,Rs.11.75 lakh crore,Rs.10.58 lakh crore
274,Which state government replaced the 'Rs' symbol with 'Ru' in the budget 2025-2026 ?,Ladakh,Tamil Nadu,Himachal Pradesh,Maharashtra,Odisha,Tamil Nadu
275,"Between 2015 and 2024, how many foreign satellites has India launched?",197,245,258,393,300,393
276,Where has India’s first PPP-based green waste processing plant been launched?,Guwahati,Indore,Agra,Ranchi,New Delhi,Indore
277,Which edition of QS World University Rankings by Subject Published by Quacquarelli Symonds (QS) ?,11th,12th,13th,14th,15th,15th
278,Which state recently initiated scientific coal mining after almost a decade of ban on rat-hole coal mining imposed by the National Green Tribunal (NGT)?,Assam,Meghalaya,Tripura,Manipur,Arunachal Pradesh,Meghalaya
279,What is the name of the newly launched anti-eve teasing squad by Delhi Police?,Nirbhaya Force,Mahila Suraksha Dal,Raksha Squad,Shishtachar,Veerangana,Shishtachar
280,Where is the newly approved Brownfield Ammonia-Urea Complex by the Union Cabinet to be established?,"Paradeep, Odisha","Namrup, Assam","Panipat, Haryana","Bhatinda, Punjab","Haldia, West Bengal","Namrup, Assam"
281,The International Day to Combat Islamophobia is observed annually on which day ?,15 March,16 March,18 March,19 March,20 March,15 March
282,World Oral Health Day is celebrated annually on which day ?,15 March,16 March,18 March,19 March,20 March,20 March
283,World Sparrow Day is observed annually on which day ?,15 March,16 March,18 March,19 March,20 March,20 March
284,SEBI has reduced the timeline for completing rights issues from 126 days to just ____ days.,20,21,22,23,24,23
285,Who is the chairperson of the Inter-Ministerial-Industry Committee on Fintech (IMICF)?,Nirmala Sitharaman,Sanjay Malhotra,Shaktikanta Das,M Nagaraju,T V Narendran,M Nagaraju
286,How much liquidity has the Reserve Bank of India (RBI) infused into the banking system since mid-January?,Rs 1 lakh crore,Rs 2.5 lakh crore,Rs 5 lakh crore,Rs 10 lakh crore,"Rs 50,000 crore",Rs 5 lakh crore
287,Which organization has officially approved boxing for the Los Angeles 2028 Olympics?,World Boxing Association,International Boxing Association,International Olympic Committee (IOC),Boxing Federation of America,World Sports Council,International Olympic Committee (IOC)
288,Armenia and which country Finalize Peace Treaty to End 40-Year Conflict ?,Solvenia,USA,Azerbaijan,China,Hungary,Azerbaijan
289,Which spacecraft did Sunita Williams and Butch Wilmore use to return to Earth in March 2025?,Soyuz MS-25,Orion,Boeing Starliner,SpaceX Dragon,Space Shuttle Atlantis,SpaceX Dragon
290,Which Reliance subsidiary acquired a 100% stake in Nauyaan Tradings Private Ltd (NTPL)?,Jio Platforms Ltd,Reliance Retail Ventures Ltd,Reliance Strategic Business Ventures Ltd (RSBVL),Reliance New Energy Ltd,Vayu,Reliance Strategic Business Ventures Ltd (RSBVL)
291,Paytm has partnered with which mutual fund company to launch the JanNivesh Rs. 250 SIP initiative?,Aditya Birla Sun AMC,Axis Asset Management Company Limited,Kotak Mahindra Mutual Fund,SBI Mutual Fund,None of these,SBI Mutual Fund
292,Which mutual fund has recently introduced 'Choti SIP' to make investing more accessible?,Aditya Birla Sun AMC,Axis Asset Management Company Limited,Kotak Mahindra Mutual Fund,SBI Mutual Fund,None of these,Kotak Mahindra Mutual Fund
293,What is the new minimum investment amount for Zero Coupon Zero Principal (ZCZP) instruments on the Social Stock Exchange (SSE)?,Rs.1000,Rs.2000,Rs.3000,Rs.4000,Rs.5000,Rs.1000
294,Department for Promotion of Industry and Internal Trade (DPIIT) has signed an MoU with which bank to Strengthen India’s Startup Ecosystem ?,HDFC Bank,IDFC First Bank,Dhanlaxmi Bank,RBL Bank,Yes Bank,Yes Bank
295,Who has been appointed as the Interim Managing Director and CEO of Edelweiss Asset Reconstruction Company (EARC)?,Usha Thorat,Shikha Sharma,Renu Karnad,Mythili Balasubramanian,Arundhati Bhattacharya,Mythili Balasubramanian
296,Which regulatory body has recently inducted new members into its Insurance Advisory Committee (IAC)?,NABARD,IRDAI,PFRDA,SEBI,SIDBI,IRDAI
297,Who has been re-appointed as an Additional Director (Independent Director) for a second term on the Board of Fino Payments Bank?,Arundhati Bhattacharya,Kalpana Morparia,Deena Mehta,Chitra Ramkrishna,Shyamala Gopinath,Deena Mehta
298,What is WAVEX 2025 associated with?,Defence and aerospace exhibition,Renewable energy showcase,Audio-visual entertainment industry,Digital banking innovation,Space research and development,Audio-visual entertainment industry
299,"Who inaugurated the Lachit Barphukan Police Academy in Dergaon, Assam?",Amit Shah,Dr. Mansukh Mandaviya,Shivraj Singh Chouhan,Anupriya Patel,Narendra Modi,Amit Shah
300,"Recently, which Indonesian volcano erupted multiple times, raising the alert to the highest level?",Mount Merapi,Mount Semeru,Mount Lewotobi Laki Laki,Mount Krakatoa,Mount Bromo,Mount Lewotobi Laki Laki
301,Which department has signed an MoU with Kyndryl Solutions Pvt Ltd to accelerate innovation and scale India’s startup ecosystem ?,Department of Higher Education,Department of Official Language,Department of Fertilizers,Department for Promotion of Industry and Internal Trade,Department of Consumer Affairs,Department for Promotion of Industry and Internal Trade
302,"Kirsty Coventry, the newly elected IOC President, belongs to which country?",South Africa,Zimbabwe,Kenya,Nigeria,Ghana,Zimbabwe
303,Where was the Annual Conference of RBI Ombudsmen 2025 held?,Bengaluru,New Delhi,Guwahati,Ahmedabad,Mumbai,Mumbai
304,"RBI imposed a monetary penalty of ₹36.30 lakh on IDBI Bank for violating which section of FEMA, 1999?",Section 11(3),Section 10(4),Section 12(1),Section 13(5),None of these,Section 10(4)
305,What is the total outlay of the Vigyan Dhara scheme for the 15th Finance Commission period (2021–22 to 2025–26)?,"Rs 5,000 crore","Rs 8,735.50 crorre","Rs 10,579.84 crore","Rs 15,250 crore","Rs 9,001 crore","Rs 10,579.84 crore"
306,What is the primary objective of the CSIR-IIIM and HAPICO collaboration?,Export of herbal medicines,Large-scale cultivation of medicinal plants,Development of novel biopesticides,Manufacturizing of chemical fertilizers,Commercialisation of cosmetic products,Development of novel biopesticides
307,Eri silk is also known by which of the following unique attributes?,Handwoven silk,Ahimsa silk,Wild silk,Peace silk,Vegan silk,Vegan silk
308,World Down Syndrome Day (WDSD) is observed annually on which day ?,19 March,20 March,21 March,22 March,23 March,21 March
309,French Language Day observed every year on which day ?,19 March,20 March,21 March,22 March,23 March,20 March
310,Who has been appointed as the Managing Director and Chief Executive Officer (MD & CEO) of IFCI Ltd for a three-year term?,Rajiv Kumar,Rahul Bhave,Sanjeev Kaushik,Arvind Subramanian,N. S. Viswanathan,Rahul Bhave
311,Which Singapore-based firm has NPCI International Payments Limited (NIPL) partnered with to enable UPI payments in Singapore?,PayNow,Razorpay,HitPay,Grappay,FinPay,HitPay
312,Which company has become the world’s most valuable steel firm by market cap?,Arcelor Mittal,Nucor Corp,JSW Steel,Tata Steel,Nippon Steel,JSW Steel
313,Anuj Kumar Singh has been appointed as Joint Secretary (Director level) in which of the following organisations?,Ministry of Railways,Union Public Service Commission (UPSC),NITI Aayog,"Ministry of Personnel, public Grieveances and Pensions",Department of Promotion of Industry and Internal Trade,Union Public Service Commission (UPSC)
314,What is the name of the incubation program launched by C-DOT to foster innovation in telecom and IT?,Pragati,Tejas,Nipun,Udaan,Samarth,Samarth
315,World Meteorological Day is observed every year on which day ?,19 March,20 March,21 March,22 March,23 March,23 March
316,"Which bank introduced Embassy Fixed Deposit, a specialized foreign currency term deposit scheme ?",HDFC Bank,IDFC First Bank,Dhanlaxmi Bank,RBL Bank,Yes Bank,HDFC Bank
317,What was the record profit earned by Regional Rural Banks (RRBs) in FY24?,"Rs.5,621 crore","Rs.6,850 crore","Rs.7,571 crore","Rs.8,210 crore",None of the above,"Rs.7,571 crore"
318,What was the total dividend payout by Public Sector Banks (PSBs) in FY24?,"Rs.20,964 crore","Rs.18,013 crore","Rs.27,830 crore","Rs.13,804 crore","Rs.25,000 crore","Rs.27,830 crore"
319,Vikram Sahu is set to replace whom as the head of Bank of America’s India operations?,Shyam Srinivasan,Kaku Nakhate,Chanda Kochhar,Ajay Banga,Vishal Sikka,Kaku Nakhate
320,"""Terrorism Risk Insurance Pool"" was formed in which year?",and Policy Research.,2001,2002,2008,2010,2002
321,Which country did the Indian Men's team defeat in the final of the Kabaddi World Cup 2025?,Pakistan,Iran,Bangladesh,England,Sri Lanka,England
322,"Which institution Inaugurates ""Hack the Future"" Hackathon ?",IIT Gandhinagar,IIT Delhi,IIT Madras,IIT Indore,IIT Roorkee,IIT Gandhinagar
323,Who has been selected for the 59th Jnanpith Award (2024)?,Gulzar,Manglesh Dabral,Vinod Kumar Shukla,Uday Prakash,Krishna Sobti,Vinod Kumar Shukla
324,The newly ordered unit at Ukai Thermal Power Plant by BHEL will have a capacity of,660 MW,1000 MW,500 MW,800 MW,1200 MW,800 MW
325,Where was the VLSRSAM missile tested by DRDO?,"Pokhran, Rajasthan","Wheeler Island, Odisha","Integrated Test Range, Chandipur","Sriharikota, Andhra Pradesh",None of the above,"Integrated Test Range, Chandipur"
326,Which state has become the first in India to broadcast its Legislative Assembly proceedings in sign language?,Punjab,Delhi,Tamil Nadu,Karnataka,Rajasthan,Punjab
