Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
140,Which state government launched the Digi Lakshmi Scheme to empower SHG women as entrepreneurs?,Andhra Pradesh,Karnataka,Tamil Nadu,Telangana,Kerala,Andhra Pradesh
141,Which Indian city launched the country’s first QR-based Digital House Address System?,Bhopal,Bengaluru,Pune,Indore,Hyderabad,Indore
142,What is the name of the Unified Flood Inundation Forecasting System launched by the Ministry of Jal Shakti in collaboration with C-DAC Pune and other agencies?,JalRakshak,FloodWatch,C-FLOOD,Samarth-FIM,MeghAlert,C-FLOOD
143,Which platform is being upgraded under a new MoU between the Ministry of Youth Affairs and Sports and the Digital India Corporation in 2024?,MY Bharat 2.0,Bharat Net Yuva Portal,Digital India Youth Hub,India Yuva Connect,Youth Power Portal,MY Bharat 2.0
144,What is the title of the autobiography recently released by former India opener Shikhar Dhawan in 2025?,Straight Drive,The Warrior Within,The One,Cover Story,Game Changer,The One
145,Who has been appointed as the non-executive director on the Board of InterGlobe Aviation (IndiGo)?,Rajiv Bansal,Amitabh Kant,Ajay Bhushan Pandey,Rakesh Mohan,Subhash Chandra Garg,Amitabh Kant
146,Who organized the Digital Payments Awards 2024–25 to recognize excellence in India’s digital payments ecosystem?,Reserve Bank of India,Ministry of Electronics and IT,NITI Aayog,"Department of Financial Services, Ministry of Finance",National Payments Corporation of India,"Department of Financial Services, Ministry of Finance"
147,What is the name of the community engagement framework launched by the Coal Ministry for mine closure and repurposing?,RESET,RENEW,RECLAIM,RESTART,RESTORE,RECLAIM
148,Which key event did Union Home Minister Amit Shah chair to celebrate the International Year of Cooperatives (IYC) 2025?,Cooperative India Summit,Sahkar Sammelan,National PACS Conclave,Sahkar Bharat Meet,Manthan Baithak,National PACS Conclave
149,"Swami Vivekananda is best known for his speech at which event, where he introduced Hindu philosophy to the Western world?",World Hindu Congress,"Parliament of the World’s Religions, Chicago",Global Interfaith Forum,Indian National Congress Session,Arya Samaj Convention,"Parliament of the World’s Religions, Chicago"
150,Which state/UT became the first to include tuberculosis (TB) screening under the Family Adoption Programme (FAP)?,Kerala,Gujarat,Maharashtra,Puducherry,Delhi,Puducherry
151,What major announcement did Union Home Minister Amit Shah make regarding the implementation of new criminal laws in India?,New laws will focus on punishment,FIRs will no longer be filed manually,Justice will be ensured from FIR to Supreme Court with set timelines,Only DNA evidence will be used in trials,"IPC, CrPC, and Evidence Act remain unchanged",Justice will be ensured from FIR to Supreme Court with set timelines
152,Who has been appointed as the new Chief Executive Officer (CEO) of the Reserve Bank Innovation Hub (RBIH)?,Rajesh Bansal,Nandan Nilekani,Sahil Kini,Sameer Nigam,Shaktikanta Das,Sahil Kini
153,Which two organizations have partnered to launch India’s first weather derivatives?,NCDEX & IMD,RBI & NCDEX,SEBI & IMD,NABARD & IMD,NSE & IMD,NCDEX & IMD
154,Which organization has provided a loan of Rs 460 crore (USD 55 million) to IndiGrid for building India’s largest 180 MW Battery Energy Storage System (BESS) project in Gujarat?,Asian Development Bank,World Bank,International Monetary Fund,International Finance Corporation,Green Climate Fund,International Finance Corporation
155,"Which is the third Indian state to cross one crore registered stock market investors, as per NSE 2025 data?",Rajasthan,Tamil Nadu,Gujarat,Karnataka,Bihar,Gujarat
156,"As per data from Orbiting Now, which country has the highest number of satellites in orbit as of 2025?",China,Russia,United States of America,India,Japan,United States of America
157,Which country became the first to officially recognize the Taliban government in Afghanistan?,China,Pakistan,Russia,United Arab Emirates,Uzbekistan,Russia
158,Who has been selected as the Commonwealth Youth Peace Ambassador for the 2025–2027 term?,Ananya Singh,Riya Chakraborty,Sukanya Sonowal,Meenakshi Das,Tanvi Joshi,Sukanya Sonowal
159,"During Prime Minister Modi’s historic visit, which Latin American country did he become the first Indian PM to visit in 57 years?",Brazil,Chile,Argentina,Peru,Colombia,Chile
160,Which prestigious civilian honour was recently conferred upon PM Narendra Modi by Trinidad and Tobago?,Order of the Caribbean Star,Companion of Honour,The Grand Order of Excellence,The Order of the Republic of Trinidad and Tobago,The Order of the Caribbean States,The Order of the Republic of Trinidad and Tobago
161,When is the third edition of the Bharat Mobility Global Expo (BMGE) scheduled to be held?,February 2025,January 2026,December 2025,March 2026,February 2027,February 2027
162,What is the name of the high-capacity switch-cum-router launched by C-DOT with 25.6 Tbps throughput in 2025?,PRAGATI-5000,SAKSHAM-3000,SURAKSHA-2000,VAANI-1000,BANDHAN-X,SAKSHAM-3000
163,What is the name of the first-ever maritime mission launched by QUAD nations to enhance Indo-Pacific maritime security under the Wilmington Declaration?,QUAD-at-Sea Ship Observer Mission,QUAD Coastal Unity Program,QUAD Maritime Mission,Indo-Pacific Security Pact,QUAD Naval Alliance,QUAD-at-Sea Ship Observer Mission
164,"For Kharif Marketing Season 2025–26, what is the MSP fixed for Arhar and Urad respectively?","Rs.7,800 and Rs.8,000","Rs.8,200 and Rs.7,800","Rs.8,000 and Rs.7,800","Rs.7,500 and Rs.7,500","Rs.8,000 and Rs.8,200","Rs.8,000 and Rs.7,800"
165,What is the new name of the National Institute of Public Cooperation and Child Development (NIPCCD) as renamed in 2025?,Rani Laxmibai National Institute of Women and Child Development,Indira Gandhi Institute of Women and Child Welfare,Savitribai Phule National Institute of Women and Child Development,Sarojini Naidu National Centre for Women and Children,Kasturba Gandhi National Institute of Women and Child Welfare,Savitribai Phule National Institute of Women and Child Development
166,"Who officially launched the ""Handloom Hackathon 2025"" to revolutionize India's handloom sector?",Ministry of Culture,NITI Aayog,Ministry of Skill Development,Development Commissioner (Handlooms),Textile Research Institute,Development Commissioner (Handlooms)
167,What is the total worth of indigenous defence procurement cleared by DAC in July 2025?,"Rs.80,000 crore","Rs.95,000 crore",Rs.1.05 lakh crore,"Rs.70,000 crore",Rs.1.25 lakh crore,Rs.1.05 lakh crore
168,Where will the first-ever Khelo India Water Sports Festival (KIWSF) 2025 be held?,Diu,Goa,Mumbai,Srinagar,Kochi,Srinagar
169,Who won the Mental Health Award 2025 at the 24th Annual International Mental Health Conference?,Soumya Swaminathan,Saima Wazed,Poonam Khetrapal Singh,Tedros Adhanom,Harsh Vardhan,Saima Wazed
170,Where was the first-ever Astro Tourism Festival organized in the Union Territory of Ladakh?,Hanle Observatory,Pangong Tso,"District Panchayat Resource Centre, Agling",Magnetic Hill,Thiksey Monastery,"District Panchayat Resource Centre, Agling"
171,"Who was Shekhar Dutt, the notable Indian bureaucrat who recently passed away?",Former Cabinet Secretary,Former Governor of Chhattisgarh,Former Chief of Army Staff,Former National Security Advisor,Former Chief Election Commissioner,Former Governor of Chhattisgarh
172,When is World Kiswahili Language Day observed?,18 June,7 July,5 August,21 May,12 September,7 July
173,On which date was Muharram (Islamic New Year) observed in 2025?,5 July,6 July,7 July,8 July,9 July,6 July
174,Which organization has provided a USD 200 million loan to support the ADB- led clean energy investment programme in India?,World Bank,IMF,Green Climate Fund (GCF),AIIB,NDB,Green Climate Fund (GCF)
175,What action has SEBI taken against US-based trading firm Jane Street in 2025?,Allowed unlimited trades,Appointed Jane Street as F&O regulator,"Barred Jane Street from markets and froze ₹4,844 crore",Gave tax exemption to Jane Street,Declared Jane Street a stock exchange,"Barred Jane Street from markets and froze ₹4,844 crore"
176,What are the names of the two newly launched plans by LIC in 2025 offering guaranteed returns and flexible policy terms?,Jeevan Saral & Jeevan Umang,Bima Jyoti & Jeevan Anand,Dhan Varsha & Jeevan Lakshya,Jeevan Labh & Jeevan Tarun,Nav Jeevan Shree & Nav Jeevan Shree Single Premium,Nav Jeevan Shree & Nav Jeevan Shree Single Premium
177,"According to the Geo Semi-Annual India FinTech Report (SEA TECH)-H1 2025, what is India’s global ranking in startup funding for the FinTech sector?",1st,2nd,3rd,4th,5th,3rd
178,Which ministry has proposed amendments to the 2014 guidelines for Television Rating Agencies to modernize viewership measurement in India?,Ministry of Electronics and IT,Ministry of Broadcasting and Telecom,Ministry of Consumer Affairs,Ministry of Information and Broadcasting,Ministry of Corporate Affairs,Ministry of Information and Broadcasting
179,Kerala’s first skin bank will be inaugurated in which city?,Kochi,Kozhikode,Thiruvananthapuram,Alappuzha,Thrissur,Thiruvananthapuram
180,What is the primary goal of the World Health Organization’s “3 by 35” initiative?,To provide 3 vaccines to 35 low-income countries by 2035,To reduce child mortality by 35% through 3 key interventions,"To increase prices of tobacco, alcohol, and sugary drinks by at least 50% by 2035",To plant 35 million trees in 3 high-risk regions by 2035,To reduce global obesity by 3% annually until 2035,"To increase prices of tobacco, alcohol, and sugary drinks by at least 50% by 2035"
181,Where has SAIL recently opened its first international office in the Middle East?,Abu Dhabi,Doha,Jeddah,Dubai,Muscat,Dubai
182,Where was India’s first Equine Disease-Free Compartment (EDFC) established?,"Pune, Maharashtra","Hisar, Haryana","Meerut Cantonment, Uttar Pradesh","Bengaluru, Karnataka","Bhopal, Madhya Pradesh","Meerut Cantonment, Uttar Pradesh"
183,Who has been appointed as the Co-President of the BRICS CCI Women’s Wing for a two-year term?,Priyanka Kakkar,Atishi Marlena,Ruby Sinha,Raghav Chadha,Swati Maliwal,Priyanka Kakkar
184,"Which Indian ministry recently rejoined the Unicode Consortium as a Supporting Member, making India one of only two governments globally with voting rights?",Ministry of External Affairs,Ministry of Culture,Ministry of Electronics and Information Technology,Ministry of Communication,Ministry of Education,Ministry of Electronics and Information Technology
185,What was the winning throw distance by Neeraj Chopra at the 2025 Neeraj Chopra Classic?,85.76m,84.51m,88.07m,87.43m,86.18m,86.18m
186,Which state launched the 'Bauddha Teerth Darshan Yojana' and 'Panch Takht Yatra Yojana' for Buddhist and Sikh pilgrims?,Punjab,Haryana,Uttar Pradesh,Bihar,Madhya Pradesh,Uttar Pradesh
187,What is the full form of the BHARAT initiative launched by IISc Bengaluru to build India’s first comprehensive aging database?,Biometric Health Assessment Research and Tracking,"Biomarkers of Healthy Aging, Resilience, Adversity, and Transitions",Biological Health and Resilience Analysis Technique,Bharat Health and Aging Research on Transitions,Biological Hormonal Assessment and Research for Aging Transitions,"Biomarkers of Healthy Aging, Resilience, Adversity, and Transitions"
188,In how many states will the 134th Durand Cup football tournament be played?,3,4,5,6,7,5
189,Who was recently appointed as the first woman pilot in the fighter stream of Indian Naval Aviation?,Lt Shivangi,SLt Aastha Poonia,Lt Avani Chaturvedi,SLt Riti Singh,Lt Bhawana Kanth,SLt Aastha Poonia
190,What was the name of the mango promotion festival launched by APEDA in Abu Dhabi in 2025?,Mango Utsav 2025,Indian Mango Festival,Mango Magic 2025,Indian Mango Mania 2025,Mango Delight Expo,Indian Mango Mania 2025
191,How many laptops did India gift to school students of Trinidad and Tobago under the new cooperation?,"1,000","2,000","5,000","10,000",500,"2,000"
192,What is the target year set in the Aluminium Vision Document to position India as a global aluminium production hub?,2030,2035,2040,2047,2050,2047
193,Where has Seiko Epson Corporation set up its first production unit in India?,Pune,Noida,Bengaluru,Chennai,Hyderabad,Chennai
194,Which university has been renamed as ‘Dr. Manmohan Singh City University’ by the Karnataka Cabinet in 2025?,Bengaluru University,Bengaluru North University,Bengaluru City University,Mysore University,Karnataka State Open University,Bengaluru City University
195,What is the name of the new political party launched by Elon Musk in the United States to challenge the two-party system?,Liberty Party,United Future Party,The America Party,National Progress Party,Vision 2040 Party,The America Party
196,Which two countries were recently admitted as borrowing members of the New Development Bank (NDB) ahead of the 17th BRICS Summit?,Argentina and Saudi Arabia,Uzbekistan and Colombia,Algeria and Uruguay,Bangladesh and UAE,Indonesia and Mexico,Uzbekistan and Colombia
197,"As per recent government advisory, for how long must a Jan Dhan account remain transaction-free to be classified as “inoperative”?",6 Months,12 Months,18 Months,24 Months,36 Months,24 Months
198,What is the name of the dual-benefit insurance product launched by Karur Vysya Bank and Kshema General Insurance?,Kisan Suraksha Yojana,Kshema Kisan Sathi,Krishi Raksha Bima,Kisan Kavach Policy,Agro Suraksha Plus,Kshema Kisan Sathi
199,"According to an SBI Research report, what percentage did India contribute to the global economy’s incremental growth in FY25?",4.5%,5.8%,8.2%,7.5%,6.7%,6.7%
200,Which BlackBuck subsidiary has received RBI approval for a Prepaid Payment Instrument (PPI) licence?,BBK Fintech Solutions,BB Payments Pvt. Ltd.,TZF Logistics Solutions,FreightPay Technologies,BlackPay Logistics,TZF Logistics Solutions
201,"Receivables Exchange of India Limited (RXIL), a TReDS platform, recently crossed which milestone in MSME invoice financing?",Rs.1 lakh crore,Rs.1.5 lakh crore,Rs.2 lakh crore,Rs.2.5 lakh crore,Rs.3 lakh crore,Rs.2 lakh crore
202,Which fintech company’s broking arm received SEBI approval to act as a stockbroker and clearing member?,Paytm,PhonePe,Mobikwik,BharatPe,Razorpay,Mobikwik
203,What recent solar discovery was made by Indian and international astronomers using advanced telescopes?,Giant solar storms,Permanent sunspots,Helium core fusion,"Tiny, short-lived plasma loops",Discovery of a new solar layer,"Tiny, short-lived plasma loops"
204,What is the name of the new multi-state milk co-operative launched in Gujarat to source milk from 20 States and 2 UTs?,Amul Dairy Federation Ltd,National Milk Federation Ltd,Sardar Patel Co-operative Dairy Federation Ltd,Kisan Milk Union of India,Bharat Milk Co-operative Federation,Sardar Patel Co-operative Dairy Federation Ltd
205,Who has been appointed as the 7th Chief Executive Officer (CEO) of the International Cricket Council (ICC) in 2025?,Geoff Allardice,Sanjog Gupta,Anurag Thakur,Manu Sawhney,Nita Ambani,Sanjog Gupta
206,Which Indian institute has developed a new low-cost sensor to detect toxic sulfur dioxide (SO₂) gas at extremely low concentrations?,"Indian Institute of Science (IISc), Bengaluru","Centre for Nano and Soft Matter Sciences (CeNS), Bengaluru","Bhabha Atomic Research Centre (BARC), Mumbai","National Environmental Engineering Research Institute (NEERI), Nagpur","Indian Institute of Technology (IIT), Delhi","Centre for Nano and Soft Matter Sciences (CeNS), Bengaluru"
207,"Under the new UAE Golden Visa policy, how much fee is required to be paid by Indians without business/property investment?",Rs.10 lakh,Rs.15 lakh,Rs.23.3 lakh,Rs.30 lakh,Rs.50 lakh,Rs.23.3 lakh
208,"Who has become the first Indian actress to be honoured with a star on the Hollywood Walk of Fame, Class of 2026?",Priyanka Chopra,Aishwarya Rai Bachchan,Deepika Padukone,Alia Bhatt,Tabu,Deepika Padukone
209,What is the name of the joint sea exercise between the Indian Coast Guard and Japan Coast Guard during the 2025 port call in Chennai?,Dharma Guardian,Malabar,Jaa Mata,Shakti,Suraksha Setu,Jaa Mata
210,Which Indian company recently secured a Rs.300 crore emergency procurement contract from the Indian Army for bulletproof jackets and advanced ballistic helmets?,Tata Advanced Systems,SMPP Limited,Bharat Electronics Limited,Kalyani Group,MKU Ltd,SMPP Limited
211,What is the name of the State-led platform launched by Telangana to support AI development?,TGDeX,Telangana AI Bridge,T-Hub AI Portal,T-SmartAI,T-AI Grid,TGDeX
212,How many gold medals did India win at the World Boxing Cup 2025 held in Kazakhstan?,2,3,4,5,6,3
213,"Where was the 17th BRICS Summit held, during which Indonesia was welcomed as a full member?","Rio de Janeiro, Brazil","Kazan, Russia","New Delhi, India","Jakarta, Indonesia","Cape Town, South Africa","Rio de Janeiro, Brazil"
214,What is the primary objective of the Asteroid Terrestrial-impact Last Alert System (ATLAS)?,Detecting solar flares,Tracking satellites,Searching for killer asteroids close to Earth,Monitoring black hole activity,Studying comets within our solar system,Searching for killer asteroids close to Earth
215,Which Indian school won the first prize in the NASA-NSS Space Settlement Design Contest 2025 for the 8th grade category?,"Delhi Public School, Bengaluru","S.R.N. Mehta CBSE School, Kalaburagi","Kendriya Vidyalaya, Hyderabad","The Doon School, Dehradun","National Public School, Chennai","S.R.N. Mehta CBSE School, Kalaburagi"
216,What is the name of India’s first National Biobank launched in July 2025 for health research?,GenIndia Biobank,Swasth Bharat Repository,Phenome India National Biobank,CSIR Gene Vault,Ayush Health Data Bank,Phenome India National Biobank
217,When is World Bioproduct Day observed every year?,June 5,July 1,July 7,August 12,October 16,July 7
218,The National Payments Corporation of India (NPCI) is developing which upgraded version of UPI to allow automated payments via smart devices?,UPI Lite 2.0,UPI for IoT,AutoPay UPI,UPI SmartPay,Bharat UPI Connect,UPI for IoT
219,Which country became the first in the Caribbean region to enable UPI services for Indian travellers?,Trinidad and Tobago,Sri Lanka,Mauritius,Bhutan,Fiji,Trinidad and Tobago
220,What is the name of the initiative launched by Startup Policy Forum to identify and support India’s top 100 deep-tech startups?,100DesiDeepTechs,IndiaDeepTech Mission,DesiTech100,Bharat Tech Foundry,DeepTech Bharat Yatra,100DesiDeepTechs
221,Which organization has signed an MoU with the Department of Empowerment of Persons with Disabilities to implement ‘Project Inclusion’?,NCERT,NIOS,Tata Institute of Social Sciences,Sri Aurobindo Society,Rehabilitation Council of India,Sri Aurobindo Society
222,Which company has become the first to integrate India Post's DIGIPIN system into its platform?,Google Maps,ISRO,Zomato,MapmyIndia,Ola,MapmyIndia
223,What is India’s target for the size of its bioeconomy by 2030?,$150 billion,$200 billion,$250 billion,$300 billion,$350 billion,$300 billion
224,Which ministry launched the ‘Kalaa Setu – Real-Time Language Tech for Bharat’ Challenge under the WaveX platform?,Ministry of Culture,Ministry of Electronics and IT,Ministry of Information and Broadcasting,Ministry of Education,Ministry of Skill Development,Ministry of Information and Broadcasting
225,Which state government has signed an MoU with Skymet Weather Services to implement the WINDS project for weather data and risk management?,Maharashtra,Gujarat,Odisha,Karnataka,Rajasthan,Odisha
226,Which civilian honour was conferred upon PM Narendra Modi by Namibia in July 2025?,Order of the Rising Sun,Order of the Baobab,Order of the Leopard,Order of the Most Ancient Welwitschia Mirabilis,Order of Unity,Order of the Most Ancient Welwitschia Mirabilis
227,What is the name of the AI-powered mosquito surveillance system launched as a pilot in Andhra Pradesh?,eMosquito,SMoSS,SmartGuard,VectorShield,MosBot,SMoSS
228,Who won the Formula 1 Qatar Airways British Grand Prix 2025?,Max Verstappen,Lewis Hamilton,Oscar Piastri,Charles Leclerc,Lando Norris,Lando Norris
229,What is the name of the first malaria drug approved specifically for newborns and infants weighing 2–5 kg?,Malarivon,Novababy,Coartem Baby,Infalaria,Artemsafe,Coartem Baby
230,Which ministry runs the National Overseas Scholarship (NOS) Scheme that funds higher education abroad for students from marginalized communities?,Ministry of External Affairs,Ministry of Education,Ministry of Skill Development and Entrepreneurship,Ministry of Social Justice and Empowerment,NITI Aayog,Ministry of Social Justice and Empowerment
231,"According to the 2025 edition of the Statistical Review of World Energy, which country became the world’s fourth-largest biofuel consumer in 2024, surpassing China?",Brazil,Germany,United States,India,Indonesia,India
232,Which Indian state has become the first to integrate a model predicting the possibility of TB deaths among patients into its elimination programme?,Maharashtra,Kerala,Tamil Nadu,Karnataka,Gujarat,Tamil Nadu
233,What is the name of the indigenous anti-submarine rocket system recently tested successfully by India?,BRAHMOS-NG,ERASR,NASM-MR,Varunastra,Astra-MK2,ERASR
234,Which district ranked 1st in the North Eastern Region (NER) SDG Index 2023- 24?,Champhai (Mizoram),Gomati (Tripura),Mokokchung (Nagaland),Hnahthial (Mizoram),Gangtok (Sikkim),Hnahthial (Mizoram)
235,Which country will host the 2025 Artistic Gymnastics World Championships scheduled from October 19 to 25?,Japan,Belgium,Indonesia,South Korea,France,Indonesia
236,Which Indian state police won the highest number of medals for India at the World Police and Fire Games 2025 held in the US?,Maharashtra Police,Delhi Police,Punjab Police,Uttar Pradesh Police,Haryana Police,Uttar Pradesh Police
237,Which Indian state recently launched the ‘Mukhya Mantri Pratigya’ scheme (CMPRATIGYA) to support youth skill training and internships with monthly financial aid?,Uttar Pradesh,Bihar,Rajasthan,Madhya Pradesh,Jharkhand,Bihar
238,Which French company acquired Indian BPM firm WNS in 2025 for $3.3 billion?,Deloitte,Atos,Capgemini,Accenture,CGI,Capgemini
239,What is the name of the first indigenously designed and built Diving Support Vessel delivered to the Indian Navy?,Samudra,Varun,Nistar,Rakshak,Prithvi,Nistar
240,"Guru Purnima, celebrated on the full moon day of Ashada month, marks the birth anniversary of which ancient sage?",Rishi Vishwamitra,Rishi Valmiki,Maharishi Ved Vyasa,Rishi Agastya,Gautam Buddha,Maharishi Ved Vyasa
241,How much dividend did Indian Bank pay to the Government of India for FY 2024–25?,"Rs.1,212 crore","Rs. 1,616.14 crore","Rs.1,500 crore","Rs.1,400 crore","Rs.1,800 crore","Rs. 1,616.14 crore"
242,How much capital does the Indian government plan to raise through QIPs by diluting stakes in PSBs during FY 2025–26?,"Rs 30,000 crore","Rs 45,000 crore","Rs 50,000 crore","Rs 60,000 crore","Rs 20,000 crore","Rs 45,000 crore"
243,Which state recorded the highest CAGR in GST collection between FY19 and FY25?,Maharashtra,Karnataka,Odisha,Haryana,Kerala,Odisha
244,"From July 16, Indian government departments must process payments above what amount through RBI's e-Kuber system?",Rs.500 crore,Rs.100 crore,Rs.75 crore,Rs.50 crore,Rs.25 crore,Rs.75 crore
245,What are Catastrophe Bonds (Cat Bonds) primarily used for?,To fund long-term infrastructure projects,To raise emergency funds for disasters by sharing risk with investors,To support education and health programs,To reduce inflation by controlling money supply,To promote foreign trade agreements,To raise emergency funds for disasters by sharing risk with investors
246,"What new technology is set to redefine the global standard for measuring a ""second""?",Quantum Entanglement Clocks,Caesium Atomic Clocks,Optical Atomic Clocks,Pulsar Timekeeping,Satellite Synchronised Clocks,Optical Atomic Clocks
247,Which company is set to become India’s first private firm to offer satellite communication services using a locally-built geostationary satellite?,Ananth Technologies Limited,Larsen & Toubro,Tata Advanced Systems,Bharat Electronics Limited,Hindustan Aeronautics Limited,Ananth Technologies Limited
248,Who became the first Indian sprinter to run the Men’s 100m in under 10.20 seconds?,Gurindervir Singh,Animesh Kujur,Amiya Kumar Mallick,Mohammed Anas,Amlan Borgohain,Animesh Kujur
249,Where was India’s first private Gati Shakti Cargo Terminal inaugurated recently?,Maharashtra,Rajasthan,Gujarat,Madhya Pradesh,Uttar Pradesh,Gujarat
250,Which Indian state launched the 'Mukhya Mantri Sehat Yojana' providing free and cashless medical treatment of up to Rs.10 lakh per year for every family?,Haryana,Delhi,Rajasthan,Punjab,Bihar,Punjab
251,What is the purpose of the Broadcasting Infrastructure and Network Development (BIND) Scheme?,To privatize broadcasting services,To promote private radio stations,To provide financial support to Prasar Bharati for infrastructure and content development,To establish private news networks,To regulate media advertisements,To provide financial support to Prasar Bharati for infrastructure and content development
252,"Who won the 2025 PEN Pinter Prize for her writing on migration, faith, and the lives of women?",Arundhati Roy,Chimamanda Ngozi Adichie,Leila Aboulela,Margaret Atwood,Jhumpa Lahiri,Leila Aboulela
253,How Many mines received the Seven-Star Rating for sustainable mining practices from the Ministry of Mines in 2025?,4,5,1,2,3,3
254,"What is the name of the book authored by Arvind Yadav on the 14th Dalai Lama, set to be released in September 2025?",Path of Peace,Eternal Light,Light of Wisdom,The Lama's Legacy,Spirit of Tibet,Eternal Light
255,Which state announced the development of Asia’s largest jungle safari in the Aravalli Hills?,Haryana,Gujarat,Rajasthan,Madhya Pradesh,Uttar Pradesh,Haryana
256,"Who is the author of the book ""Honest John: A Life of John Matthai""?",Syloo Matthai,Rajmohan Gandhi,Bakhtiar K. Dadabhoy,Jairam Ramesh,Gurcharan Das,Bakhtiar K. Dadabhoy
257,"What is the title of the book written by retired Army officer S.N. Ahmed, paying tribute to the postcard era?",Patra Ki Kahani,Das Paise ka Postcard,Yaadon ka Patra,Antim Chitthi,Sandeh Ka Safar,Das Paise ka Postcard
258,Who inaugurated the ASMITA Weightlifting League in Modinagar?,Anurag Thakur,Smriti Irani,Rajeev Chandrasekhar,Mansukh Mandaviya,Bhupender Yadav,Mansukh Mandaviya
259,How many Medium Altitude Long Endurance (MALE) drones has India approved for procurement to enhance border surveillance?,47,60,78,100,87,87
260,"According to Houlihan Lokey's report, which IPL franchise is the most valuable in 2024?",Mumbai Indians,Chennai Super Kings,Royal Challengers Bengaluru,Kolkata Knight Riders,Punjab Kings,Royal Challengers Bengaluru
261,"Which country will become the 21st member of the eurozone by adopting the euro from January 1, 2026?",Romania,Bulgaria,Serbia,Hungary,Poland,Bulgaria
262,Where will the 7th Regional Committee Meeting of ISA for the Asia-Pacific region be held in July 2025?,New Delhi,Kathmandu,Dhaka,Colombo,Jakarta,Colombo
263,What is the name of the initiative launched by NESTS and UNICEF India to support holistic development among EMRS students?,PRAGATI,UDAAN,TALASH,GATI,RISE,TALASH
264,"Whose 125th birth anniversary is being officially commemorated with a postage stamp and coin release from July 6, 2025 to July 6, 2027?",Dr. Rajendra Prasad,Sardar Vallabhbhai Patel,Syama Prasad Mookerjee,Bal Gangadhar Tilak,Lala Lajpat Rai,Syama Prasad Mookerjee
265,What is the new condition set by the Bihar Cabinet for women to claim the 35% reservation in state government jobs?,Age relaxation,Minimum education qualification,Domicile certificate mandatory,Income ceiling,Marital status proof,Domicile certificate mandatory
266,What is the theme of World Population Day 2025 observed on July 11?,Investing in Teenage Health,Rights and Choices are the Answer,Empowering youth for sustainable future,Empowering young people to create the families they want in a fair and hopeful world,Reproductive Health and Gender Equality,Empowering young people to create the families they want in a fair and hopeful world
267,Which company became the first to cross a $4 trillion market valuation milestone?,Nvidia,Microsoft,Apple,Alphabet,Amazon,Nvidia
268,Who has been appointed as the Chairperson of the Cellular Operators Association of India (COAI) for 2025-26?,Rahul Vatts,Sunil Bharti Mittal,Gopal Vittal,Abhijit Kishore,Akash Ambani,Abhijit Kishore
269,Which organisation recently authorised Starlink to operate broadband satellite services in India?,ISRO,TRAI,IN-SPACe,DoT,BARC,IN-SPACe
270,When will the International Conference on ‘Reclaiming India’s Knowledge Legacy Through Manuscript Heritage’ be held?,5–7 August 2025,11–13 September 2025,2–4 October 2025,15–17 November 2025,25–27 December 2025,11–13 September 2025
271,"Which greenfield smart industrial city did Japan's Ambassador to India, Mr. Keiichi Ono, recently visit with a delegation of Japanese companies?",Dholera SIR,GIFT City,Auric City,Noida Electronics City,Bengaluru ITIR,Dholera SIR
272,Which Indian healthcare technology company has partnered with Telecom Egypt to develop a national digital healthcare platform in Egypt?,Practo,Tata Digital Health,Medanta Digital Health,1mg Technologies,KareXpert Technologies,KareXpert Technologies
273,Who is the only Indian content creator featured in the TIME 100 Creators List 2025?,Jay Shetty,Samir Chaudry,Dhar Mann,Prajakta Koli,Michelle Khare,Prajakta Koli
274,Which city will host the ISSF Combined World Cup 2027 and Junior World Championships 2028?,Mumbai,New Delhi,Hyderabad,Bengaluru,Chennai,New Delhi
275,Who recently resigned as the CEO of Elon Musk-owned platform X (formerly Twitter)?,Sheryl Sandberg,Jenna Ferrua,Susan Wojcicki,Omead Afshar,Linda Yaccarino,Linda Yaccarino
276,Where did the Ministry of Tribal Affairs launch the first Regional Process Lab (RPL) under the Aadi KARMAYOGI – National Mission for Responsive Governance?,Hyderabad,Bhopal,Bengaluru,Ranchi,Bhubaneswar,Bengaluru
277,What is the purpose of Google’s recently launched Agricultural Monitoring and Event Detection (AMED) API?,To track global weather patterns,To provide field-level crop monitoring and agricultural event detection in India,To analyze stock market data for agri-businesses,To monitor livestock activities in rural areas,To provide subsidies directly to farmers,To provide field-level crop monitoring and agricultural event detection in India
278,What is the bilateral trade target set between India and Brazil by 2030?,$10 Billion,$15 Billion,$20 Billion,$25 Billion,$30 Billion,$20 Billion
279,Indian Railways signed an MoU with DFCCIL for the installation of which modern system to monitor the health of rolling stock?,Automated Brake Testing System,Machine Vision Based Inspection System (MVIS),Infrared Fault Detection System,Ultrasonic Track Inspection System,Smart Coach Monitoring System,Machine Vision Based Inspection System (MVIS)
280,Who is known as “NASABlueberry” and is one of the strongest aspirants for NASA’s first human mission to Mars in the 2030s?,Christina Koch,Jessica Watkins,Alyssa Carson,Peggy Whitson,Sunita Williams,Alyssa Carson
281,When was India’s first-ever incentive scheme for e-trucks launched to promote clean freight mobility?,5 July 2025,11 July 2025,15 August 2025,1 September 2025,30 June 2025,11 July 2025
