Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
127,Who unveiled the pilot version of the India–United Kingdom Science and Technology Partnership (IN-UK-STP) Dashboard?,Prof. Ajay Kumar Sood and Dr. David Warren Smith,Ramesh Pokhriyal and Boris Johnson,Dr. K. VijayRaghavan and Dominic Raab,Prof. Ashutosh Sharma and Jeremy Hunt,Nirmala Sitharaman and Liz Truss,Prof. Ajay Kumar Sood and Dr. David Warren Smith
128,"Which group signed an MoU with the Government of Andhra Pradesh to invest Rs. 20,000 crore and expand a thermal power plant in Visakhapatnam?",Tata Group,Adani Group,Reliance Group,Hinduja Group,JSW Group,Hinduja Group
129,Who has been re-elected as the President of Tanzania for a second term?,John Magufuli,Samia Suluhu Hassan,Jakaya Kikwete,Edward Lowassa,Ali Hassan Mwinyi,Samia Suluhu Hassan
130,"Which celebrated Indian poet and writer, awarded the Padma Shri in 2025, recently passed away?",Ramdarash Mishra,Raghuvir Sahay,Kedarnath Singh,Kunwar Narayan,Namvar Singh,Ramdarash Mishra
131,Which institute signed an MoU with the Ministry of Statistics and Programme Implementation to develop a comprehensive SDG alignment framework?,Indian Institute of Management (IIM),Indian Institute of Corporate Affairs (IICA),NITI Aayog,Indian Statistical Institute (ISI),"Ministry of Environment, Forest and Climate Change",Indian Institute of Corporate Affairs (IICA)
132,What is observed on November 3 as per international environmental observances?,World Wildlife Day,International Day for Biosphere Reserves,World Environment Day,International Biodiversity Day,Global Green Day,International Day for Biosphere Reserves
133,What is the purpose of the Janjatiya Gaurav Varsh Pakhwada observed from 1st–15th November 2025?,To celebrate India’s Independence Day,To commemorate tribal freedom fighters and mark the 150th birth anniversary of Bhagwan Birsa Munda,To promote agricultural achievements,To honor industrial leaders,To mark National Education Day,To commemorate tribal freedom fighters and mark the 150th birth anniversary of Bhagwan Birsa Munda
134,"The Government of India is planning to re-position which institution, established in 2021, as a global financial institution with a proposed new name Infrastructure Development Bank (IDB)?",SIDBI,EXIM Bank,NaBFID,NABARD,IFCI,NaBFID
135,"Which fintech company, in collaboration with Federal Bank, has introduced the Family Add-on Credit Card feature and launched India’s first travel-focused shopping platform, Scapia Store?",Slice,Scapia,OneCard,Fi Money,Cred,Scapia
136,Mahindra & Mahindra (M&M) is likely to sell its entire 3.45% stake in which bank for ₹682 crore through a block deal?,Axis Bank,ICICI Bank,RBL Bank,Yes Bank,IDFC First Bank,RBL Bank
137,Which bank has paused its plan to divest a majority stake in its subsidiary Nainital Bank Limited (NBL) and decided to focus on strengthening it instead?,State Bank of India,Punjab National Bank,Bank of Baroda,Canara Bank,Union Bank of India,Bank of Baroda
138,What was the net profit of the State Bank of India (SBI) in Q2 FY26?,"₹17,800 crore","₹19,200 crore","₹20,160 crore","₹22,500 crore","₹25,000 crore","₹20,160 crore"
139,What is India’s rank in the WJP Rule of Law Index 2025?,76th,80th,86th,90th,70th,86th
140,Who has been conferred with the Manohar Parrikar Yuva Scientist Award 2025 for outstanding contributions to computational materials science?,Dr. Sai Gautam Gopalakrishnan,Dr. Anil Kakodkar,Dr. Tessy Thomas,Dr. G. Satheesh Reddy,Dr. S. Somanath,Dr. Sai Gautam Gopalakrishnan
141,"Typhoon Kalmaegi, locally known as Typhoon Tino, recently affected which island in the Philippines?",Luzon,Cebu,Palawan,Mindanao,Boracay,Palawan
142,India will celebrate 150 years of the National Song Vande Mataram starting from which date?,26 January 2026,15 August 2025,7 November 2025,2 October 2025,7 September 2025,7 November 2025
143,"In the World Cooperative Monitor Global Rankings 2025, which Indian cooperative secured the 1st rank?",IFFCO,Amul,KRIBHCO,NAFED,Mother Dairy,Amul
144,"Which country has officially inaugurated the Grand Egyptian Museum (GEM), said to be the world’s largest archaeological museum with nearly 100,000 artifacts?",Jordan,Saudi Arabia,Egypt,Turkey,Iran,Egypt
145,During which meeting did India and Israel sign a defence cooperation pact aimed at promoting co-development and co-production of advanced military systems?,15th India-Israel JWG Meeting,16th India-Israel JWG Meeting,17th India-Israel JWG Meeting,18th India-Israel JWG Meeting,14th India-Israel JWG Meeting,17th India-Israel JWG Meeting
146,President Droupadi Murmu recently extended greetings on the occasion of which famous Odisha festival?,Rath Yatra,Konark Dance Festival,Baliyatra Festival,Nuakhai Festival,Raja Parba,Baliyatra Festival
147,Which organization will provide Tata Capital with a $15.85 million revolving facility and a $3 million grant?,World Bank,Asian Development Bank,Green Climate Fund (GCF),International Finance Corporation,United Nations Development Programme (UNDP),Green Climate Fund (GCF)
148,"Which organizations signed the tripartite MoU to monitor surface coal fires and land subsidence in Jharia Coalfield, Jharkhand (2025–27)?","ISRO, NTPC, and Coal India","NRSC/ISRO, BCCL, and CMPDI","ONGC, BCCL, and NALCO","NLC India, CMPDI, and GAIL","CSIR, Coal India, and NTPC","NRSC/ISRO, BCCL, and CMPDI"
149,India is set to welcome another batch of eight cheetahs from which country under Project Cheetah by December 2025?,Namibia,South Africa,Kenya,Botswana,Tanzania,Botswana
150,Which Indian state has inaugurated the country’s first end-to-end Silicon Carbide (SiC) semiconductor facility under the India Semiconductor Mission?,Karnataka,Tamil Nadu,Odisha,Gujarat,Telangana,Odisha
151,"Who inaugurated the North Eastern Science & Technology (NEST) Cluster at IIT Guwahati, which focuses on semiconductors, AI, and bamboo-based technologies?",Dr. Jitendra Singh,Jyotiraditya Madhavrao Scindia,Ashwini Vaishnaw,Dharmendra Pradhan,Kiren Rijiju,Jyotiraditya Madhavrao Scindia
152,"According to the NITI Aayog report, India’s bioeconomy sector is expected to reach what value by 2030?",USD 150 billion,USD 200 billion,USD 300 billion,USD 400 billion,USD 500 billion,USD 300 billion
153,"Which country has become the first in the world to implement a generational smoking ban prohibiting anyone born after January 1, 2007, from buying, using, or selling tobacco products?",New Zealand,United Kingdom,Maldives,Australia,Singapore,Maldives
154,Which Indian state became the first to introduce both Air Ambulance and Helicopter Tourism Services under its intra-state air connectivity initiative?,Maharashtra,Uttarakhand,Madhya Pradesh,Himachal Pradesh,Rajasthan,Madhya Pradesh
155,Which bank has launched an EPF remittance service in collaboration with EPFO?,Karur Vysya Bank,City Union Bank,South Indian Bank,Federal Bank,None of the Above,City Union Bank
156,SBI and France’s Amundi will jointly divest how much stake in SBI Funds Management via IPO?,5%,7%,8%,10%,12%,10%
157,Which companies have introduced a dual loan financing program to make electric vehicles more affordable in India?,Tata Motors and HDFC Bank,JSW MG Motor India and Axis Bank,Mahindra Electric and ICICI Bank,Hyundai Motor India and SBI,Maruti Suzuki and Punjab National Bank,JSW MG Motor India and Axis Bank
158,What is the name of Paytm’s new AI-powered travel app?,Paytm Travel+,Paytm Check-in,Paytm Journey,Paytm Trip Planner,None of the Above,Paytm Check-in
159,Which two regulators are collaborating to introduce bond derivatives in India?,RBI and IRDAI,SEBI and RBI,NABARD and SEBI,SIDBI and RBI,PFRDA and SEBI,SEBI and RBI
160,What was the cumulative profit of Public Sector Banks (PSBs) in Q2 FY26?,"₹45,547 crore","₹49,456 crore","₹50,000 crore","₹93,674 crore","₹85,520 crore","₹49,456 crore"
161,"What is the total balance in Jan Dhan accounts as of October 22, 2025?",₹1.85 lakh crore,₹2.15 lakh crore,₹2.75 lakh crore,₹3.00 lakh crore,₹2.50 lakh crore,₹2.75 lakh crore
162,Who was awarded the Chevalier de l’Ordre national du Mérite (Knight of the National Order of Merit) in New Delhi?,Mukesh Ambani,Sunil Kant Munjal,Ratan Tata,Anand Mahindra,Aditya Puri,Sunil Kant Munjal
163,Which government received the People First Integration Award at the National Workshop and Conference on DigiLocker 2025?,Government of Kerala,Government of Himachal Pradesh,Government of Maharashtra,Government of Tamil Nadu,Government of Gujarat,Government of Himachal Pradesh
164,What are India’s blending targets for Sustainable Aviation Fuel (SAF)?,"1% by 2025, 2% by 2026, 5% by 2030","1% by 2027, 2% by 2028, 5% by 2030","1% by 2028, 3% by 2029, 6% by 2031","2% by 2026, 4% by 2028, 6% by 2030",None of the above,"1% by 2027, 2% by 2028, 5% by 2030"
165,"Which will be Madhya Pradesh’s third cheetah site, where cheetahs from Namibia are planned to be released?",Kuno National Park,Gandhi Sagar Sanctuary,Nauradehi Wildlife Sanctuary,Kanha National Park,Bandhavgarh National Park,Nauradehi Wildlife Sanctuary
166,Who has been appointed as the new head coach of the Royal Challengers Bengaluru (RCB) women’s team for WPL 2026?,Luke Williams,Malolan Rangarajan,Mithali Raj,Smriti Mandhana,Jhulan Goswami,Malolan Rangarajan
167,Where will the 4th National Spice Conference (NSC) 2025 be held?,Kochi,Mumbai,Guntur,Jaipur,None of the Above,Guntur
168,Which crewed spacecraft did China launch from Jiuquan Satellite Launch Center in November 2025?,Tianzhou-3,Shenzhou-21,Chang’e-6,Long March-5,Tiangong-2,Shenzhou-21
169,"What is “IndQA”, recently launched by OpenAI?",An AI tool for real-time translation,An AI benchmark to evaluate understanding of Indian culture and life,A chatbot for Indian government services,A platform for developing Indian language datasets,A multilingual voice assistant,An AI benchmark to evaluate understanding of Indian culture and life
170,Which term has been named the “Word of the Year 2025” by Collins Dictionary?,AI Fusion,Vibe Coding,Quantum Leap,Neural Networking,Digital Detox,Vibe Coding
171,"Which company’s proposed Greenfield steel plant at Nakkapalli, Andhra Pradesh, has been approved by the Union Environment Ministry?",Tata Steel,JSW Steel,ArcelorMittal Nippon Steel (AMNS),Steel Authority of India (SAIL),Essar Steel,ArcelorMittal Nippon Steel (AMNS)
172,Which two mobile applications were launched for the trial phase of India’s first digital Census 2027?,Digital Census & Smart Map,Population Tracker & GeoCensus,Digital Layout Map (DLM) & Census 2027–Houselist,Census Tracker & Geo Map,House Mapper & Population App,Digital Layout Map (DLM) & Census 2027–Houselist
173,Which country has officially become the world’s first cashless nation?,Norway,Sweden,Denmark,Finland,Netherlands,Sweden
174,"Charles Coste, who recently passed away, was a legendary athlete in which sport?",Athletics,Cycling,Swimming,Gymnastics,Rowing,Cycling
175,"Gopichand Parmanand Hinduja, who recently passed away, was the Chairman of which business group?",Tata Group,Adani Group,Hinduja Group,Mahindra Group,Reliance Industries,Hinduja Group
176,Which Indian company recently became the sixth to cross the $100 billion market capitalisation mark?,HDFC Bank,Bharti Airtel,ICICI Bank,State Bank of India,Tata Consultancy Services,State Bank of India
177,Which bank declared Reliance Communications’ loan account as “fraud”?,SBI,HDFC Bank,IDBI Bank,ICICI Bank,Axis Bank,IDBI Bank
178,When did India officially conclude its presence at the Ayni Airbase in Tajikistan?,2008,2010,2020,2022,2024,2022
179,Which new annual award has FIFA created to recognize efforts in uniting people through football?,FIFA Fair Play Award,FIFA Peace Prize,FIFA Unity Trophy,FIFA Global Harmony Award,FIFA Champions Medal,FIFA Peace Prize
180,Which company announced India’s largest Geothermal Energy Technology pilot project in Andhra Pradesh?,NTPC,Energy Efficiency Services Limited,Power Grid Corporation,Bharat Heavy Electricals Limited,Indian Oil Corporation,Energy Efficiency Services Limited
181,Which two organizations signed an MoU to advance digital design skills in India’s vocational training institutes?,MSDE & TCS,DGT & Autodesk,NSDC & Infosys,AICTE & Siemens,DGT & IBM,DGT & Autodesk
182,Which state became the first in India to sign a Letter of Intent with Elon Musk’s Starlink Satellite Communications Pvt. Ltd.?,Gujarat,Maharashtra,Karnataka,Telangana,Madhya Pradesh,Maharashtra
183,"Which international event is the Ministry of Tourism, India, participating in to showcase India’s tourism?",ITB Berlin,World Travel Market (WTM) London,Arabian Travel Market,FITUR Madrid,International Tourism Expo Tokyo,World Travel Market (WTM) London
184,Which Indian heritage site was rated ‘Good’ by IUCN in the 4th edition of its World Heritage Outlook?,Jim Corbett National Park,Sundarbans National Park,Khangchendzonga National Park,Kaziranga National Park,Valley of Flowers,Khangchendzonga National Park
185,Who topped the EdelGive Hurun India Philanthropy List 2025?,Ratan Tata,Shiv Nadar & Family,Mukesh Ambani,Nikhil Kamath,Rohini Nilekani,Shiv Nadar & Family
186,When and where will the fourth edition of the Kashi Tamil Sangamam (KTS 4.0) be held?,"December 2–15, 2025 in Chennai","December 2–15, 2025 in Varanasi","November 25–December 5, 2025 in Varanasi","December 10–20, 2025 in Kashi","January 1–15, 2026 in Varanasi","December 2–15, 2025 in Varanasi"
187,Who was awarded the INTERPOL Medal of the Highest Order at the Middle East International Border Management and Technology Conference?,General Shaikh Rashid bin Abdullah Al Khalifa,Major General Dr. Ahmed Nasser Al Raisi,Sheikh Salman bin Hamad,Khalifa bin Zayed Al Nahyan,Abdullah bin Abdulaziz,General Shaikh Rashid bin Abdullah Al Khalifa
188,Which former Karnataka Minister and MP recently passed away?,H.D. Kumaraswamy,H.Y. Meti,Siddaramaiah,B.S. Yediyurappa,D.K. Shivakumar,H.Y. Meti
189,What is observed on November 7 as a health awareness day in India?,World Diabetes Day,National Cancer Awareness Day,World Heart Day,National Mental Health Day,None of the Above,National Cancer Awareness Day
190,Which company received in-principle approval from the Reserve Bank of India to issue Prepaid Payment Instruments?,Paytm Payments Bank,Junio Payments Private Limited,PhonePe,MobiKwik,Razorpay,Junio Payments Private Limited
191,Which regulatory body has urged social media platforms and search engines to implement stronger safeguards against fraudulent investment activities?,RBI,SEBI,IRDAI,Ministry of Finance,FSSAI,SEBI
192,What is the total corpus of the AgriSURE Fund launched by NABARD and the Union Agriculture Ministry?,₹500 crore,₹600 crore,₹750 crore,₹800 crore,₹1000 crore,₹750 crore
193,"Which bank has partnered with NPST to deploy UPI 123Pay, a voice- based UPI payment system for users without internet access?",Indian Bank,Indian Overseas Bank,Bank of Baroda,Punjab National Bank,Union Bank of India,Indian Overseas Bank
194,"Which bank launched 'M' Circle, a women-focused banking proposition offering discounts on locker rentals and preferential loan rates?",AU Small Finance Bank,HDFC Bank,ICICI Bank,Axis Bank,Kotak Mahindra Bank,AU Small Finance Bank
195,Which company received a USD 331 million loan from the Asian Development Bank (ADB) to support its hybrid renewable energy project in Andhra Pradesh?,Adani Green Energy Ltd,ReNew Energy Global Plc,Tata Power Renewable Energy Ltd,NTPC Green Energy Ltd,JSW Energy Ltd,ReNew Energy Global Plc
196,The “Aadi Chitra” National Tribal Painting Exhibition was inaugurated in which city under Janjatiya Gaurav Varsh Pakhwada?,New Delhi,Mumbai,Bhopal,Bhubaneswar,Ahmedabad,Mumbai
197,"As per the Wildlife Institute of India (WII) report, which state has the highest elephant population in India?",Assam,Kerala,Karnataka,Tamil Nadu,Odisha,Karnataka
198,"Who launched NexCAR19, India’s first indigenously developed CAR T-cell therapy?",Rajnath Singh,Narendra Modi,Mansukh Mandaviya,Piyush Goyal,Amit Shah,Narendra Modi
199,Where is the 30th edition of the UN Climate Change Conference (COP30) being held?,"Paris, France","Dubai, UAE","Belem, Brazil","New York, USA","Glasgow, UK","Belem, Brazil"
200,Which institute signed an MoU with iDG10 Solutions Private Limited to establish India’s first industry-anchored long-term collaboration in subsea pipeline design technology?,IIT Madras,IIT Delhi,IIT Ropar,IIT Kharagpur,IIT Bombay,IIT Ropar
201,"Who became the fastest Indian to reach 1,000 T20I runs, surpassing Suryakumar Yadav’s record?",Shubman Gill,Ruturaj Gaikwad,Abhishek Sharma,Ishan Kishan,Sanju Samson,Abhishek Sharma
202,Who has been reappointed as the Chairman of the National Company Law Appellate Tribunal (NCLAT)?,Justice Bansi Lal Bhat,Justice Ashok Bhushan,Justice Ranjan Gogoi,Justice A.K. Sikri,Justice Hemant Gupta,Justice Ashok Bhushan
203,What is Google’s ‘Project Suncatcher’ aimed at developing?,Solar-powered AI system in space,Quantum computing for cloud data centers,Autonomous electric vehicles,Blockchain-based secure satellites,Deep-sea AI research platform,Solar-powered AI system in space
204,Which country has announced it will adopt India’s DAY-NRLM scheme to combat rural poverty?,Kenya,Nepal,Bangladesh,Sri Lanka,Ethiopia,Ethiopia
205,Who addressed a special session of the Uttarakhand Assembly to mark the state’s Silver Jubilee?,Narendra Modi,Yogi Adityanath,Droupadi Murmu,Ram Nath Kovind,Rajnath Singh,Droupadi Murmu
206,"Which country is set to join the Abraham Accords with Israel, as announced by Donald Trump?",Oman,Saudi Arabia,Kazakhstan,Egypt,Jordan,Kazakhstan
207,Which institute has signed an MoU with C-DOT to establish a Centre of Excellence (CoE) in telecom and cybersecurity?,IIT Gandhinagar,IIT Delhi,IIT Madras,IIT Kanpur,IISc Bengaluru,IIT Gandhinagar
208,Who became India’s 91st Chess Grandmaster after winning the 6th ASEAN Individual Chess Championship?,Ilamparthi AR,Raahul VS,Viswanathan Anand,Pentala Harikrishna,B. Adhiban,Raahul VS
209,The historic cultural festival ‘Kartik Naach’ is celebrated in which country?,India,Nepal,Sri Lanka,Bhutan,Myanmar,Nepal
210,Which former Vice President of the United States of America recently passed away?,Joe Biden,Dick Cheney,Al Gore,Mike Pence,Dan Quayle,Dick Cheney
211,"IN-SPACe and SIDBI have launched a ₹1,000 crore Venture Capital Fund for which sector?",Defence Sector,Agriculture Sector,Space Sector,Manufacturing Sector,Renewable Energy Sector,Space Sector
212,Which company won the ‘Digital Insurer of the Year’ award for the third time at the 29th Asia Insurance Industry Awards (AIIA) 2025?,ICICI Lombard,Bajaj Allianz General Insurance,Tata AIG General Insurance,HDFC ERGO General Insurance,Go Digit General Insurance Limited,Go Digit General Insurance Limited
213,What measure has the Reserve Bank of India (RBI) proposed to boost long-term lending by NBFCs for high-quality infrastructure projects?,Increasing interest rates on NBFC loans,Lowering risk weights on high-quality infrastructure projects,Mandating higher collateral for project loans,Limiting NBFC exposure to infrastructure sector,Introducing tax incentives for NBFCs,Lowering risk weights on high-quality infrastructure projects
214,Who became the first Indian para-athlete selected for an able-bodied national archery team?,Sheetal Devi,Vaidehi Hirachandra Jadhav,Tejal Rajendra Salve,Deepika Kumari,Bombayla Devi Laishram,Sheetal Devi
215,Where did the 29th edition of Exercise Malabar 2025 begin?,Japan,India,Guam,Australia,USA,Guam
216,Which organisation has begun flight trials of the advanced Electronic Warfare (EW) suite ‘Swayam Raksha Kavach’ on the TEJAS Mk-1A Light Combat Aircraft?,Hindustan Aeronautics Limited (HAL),Defence Research and Development Organisation (DRDO),Indian Air Force (IAF),Aeronautical Development Agency (ADA),Bharat Electronics Limited (BEL),Defence Research and Development Organisation (DRDO)
217,India recently signed an MoU on Cultural Cooperation with which country?,United Arab Emirates,Saudi Arabia,Oman,Egypt,Qatar,Saudi Arabia
218,Which Defence Public Sector Undertakings (DPSUs) were recently granted Miniratna Category-I status by the Government of India?,"Hindustan Aeronautics Limited, Bharat Dynamics Limited, BEML, Mazagon Dock Shipbuilders Limited","Hindustan Shipyard Ltd, Armoured Vehicles Nigam Limited, Munitions India Limited, India Optel Limited","Bharat Electronics Limited, Garden Reach Shipbuilders & Engineers Limited, Goa Shipyard Limited, HAL","Cochin Shipyard Limited, BEML Limited, Bharat Dynamics Limited, BEL","Bharat Earth Movers Limited, Hindustan Aeronautics Limited, GRSE, GSL","Hindustan Shipyard Ltd, Armoured Vehicles Nigam Limited, Munitions India Limited, India Optel Limited"
219,Which Indian state became the first to approve one day of paid menstrual leave per month for all women employees?,Kerala,Odisha,Karnataka,Bihar,Tamil Nadu,Karnataka
220,India recently signed an MoA on Mutual Submarine Search and Rescue Support with which country?,Japan,Indonesia,Vietnam,Thailand,Philippines,Vietnam
221,Which state government launched India’s first “Women’s Wellness on Wheels” (WWW) initiative to enhance women’s health through mobile medical units?,Kerala,Andhra Pradesh,Karnataka,Maharashtra,Tamil Nadu,Tamil Nadu
222,Which country has announced plans to ban social media use for children under the age of 15?,Norway,Sweden,Denmark,Australia,Finland,Denmark
223,Which organization partnered with Google India to provide real-time highway information through the API Setu platform?,Ministry of Road Transport & Highways,Indian Railways,Border Roads Organisation (BRO),Ministry of Electronics & IT,National Highways Authority of India (NHAI),National Highways Authority of India (NHAI)
224,Which countries participated in Exercise MITRA SHAKTI-2025?,India – Bangladesh,India – Sri Lanka,India – Nepal,India – Maldives,India – Bhutan,India – Sri Lanka
225,Which country was recently hit by a very strong tropical storm named Typhoon Fung-wong?,Vietnam,Japan,Indonesia,Philippines,Thailand,Philippines
226,"The Finance Ministry has allocated an additional ₹7,000 crore to which organization for grain management expenses?",NABARD,NAFED,FCI,Food Ministry,State Warehousing Corporation,FCI
227,What is commemorated on November 9 as National Legal Services Day?,Adoption of Right to Information Act,Enforcement of Legal Services Authorities Act,Foundation of Supreme Court of India,Commencement of National Law University,Enactment of Indian Penal Code,Enforcement of Legal Services Authorities Act
228,UIDAI partnered with which organization to improve the reliability of India’s digital identity system for minors?,World Bank,Behavioural Insights Limited (BIL),NITI Aayog,UNICEF,CSIR,Behavioural Insights Limited (BIL)
229,RBI recently recognised SRPA as the SRO for which sector?,Microfinance Sector,NBFC Sector,Fintech Sector,Payment System Operators Sector,Banking Sector,Payment System Operators Sector
230,NPCI International Payments Limited (NIPL) recently partnered with which company to enable real-time cross-border remittances between India and Bahrain?,PayPal,Ripple,Western Union,TransferWise,BENEFIT,BENEFIT
231,RBI's new rules allowing loans against silver will come into effect from which date?,"April 1, 2025","April 1, 2026","January 1, 2026","March 31, 2026",None of the above,"April 1, 2026"
232,"As per SEBI’s latest reforms, what is the new minimum number of constituents required in the Nifty Bank index (BANKNIFTY)?",10,11,12,13,14,14
233,Which insurance company partnered with the International Finance Corporation (IFC) to promote inclusive life insurance services in India?,LIC,HDFC Life Insurance,Axis Max Life Insurance,ICICI Prudential Life Insurance,SBI Life Insurance,Axis Max Life Insurance
234,Which minister launched the mobile applications Sahakar Digi Pay and Sahakar Digi Loan to modernize urban cooperative banks in India?,Finance Minister,Minister of Finance and Corporate Affairs,Minister of Electronics & IT,"Minister of Micro, Small & Medium Enterprises",Union Cooperation Minister,Union Cooperation Minister
235,Which state has become the first in India to implement the amended Bharat Net Scheme statewide?,Haryana,Punjab,Rajasthan,Gujarat,None of the Above,Punjab
236,Where was the 2nd World Summit for Social Development (WSSD-2025) hosted?,"Copenhagen, Denmark","New York, USA","Doha, Qatar","Geneva, Switzerland","London, UK","Doha, Qatar"
237,President Droupadi Murmu recently attended the 50th Independence Day celebrations of which country?,Kenya,Angola,Botswana,Namibia,South Africa,Angola
238,"According to the City Life Index 2025, which Asian city ranked highest in the happiness chart?",Beijing,Shanghai,Chiang Mai,Mumbai,Hanoi,Mumbai
239,Which country will host the 2026 Asian Youth Archery Championship?,India,Bangladesh,Thailand,United Arab Emirates,South Korea,United Arab Emirates
240,Digital Labour Chowk mobile application was launched by which ministry?,Ministry of Rural Development,Ministry of Labour & Employment,Ministry of Housing & Urban Affairs,Ministry of Skill Development,Ministry of Finance,Ministry of Labour & Employment
241,Which organization signed an MoU with the Indian Army Purchase Organization to enable real-time verification of UDINs?,Institute of Company Secretaries of India (ICSI),Reserve Bank of India (RBI),Securities and Exchange Board of India (SEBI),Institute of Chartered Accountants of India (ICAI),Ministry of Finance,Institute of Chartered Accountants of India (ICAI)
242,"According to the WHO Global TB Report 2025, India’s TB incidence declined by what percentage between 2015 and 2024?",12%,15%,21%,28%,35%,21%
243,Who won the Ambassador Richard C. Holbrooke Distinguished Achievement Award (Lifetime Achievement Award) at the 30th Dayton Literary Peace Prize 2025?,Kaveh Akbar,Sunil Amrith,Salman Rushdie,Arundhati Roy,Vikram Seth,Salman Rushdie
244,In which area of Egypt was a new natural gas discovery announced by the Ministry of Petroleum and Mineral Resources?,Western Desert,Nile Delta,Eastern Desert,Sinai Peninsula,Red Sea Coast,Western Desert
245,Which country became the 1st South Asian nation to join the UN Water Convention in June 2025?,India,Nepal,Bangladesh,Sri Lanka,Bhutan,Bangladesh
246,Which Indian state has become the first to launch a large-scale tribal- focused genome sequencing project?,Madhya Pradesh,Chhattisgarh,Jharkhand,Gujarat,Odisha,Gujarat
247,Who inaugurated the 18th edition of the Urban Mobility India (UMI) Conference & Exhibition in Gurugram?,Nitin Gadkari,Hardeep Singh Puri,Rajesh Bhushan,Manohar Lal Khattar,Gajendra Singh Shekhawat,Manohar Lal Khattar
248,Where was the 1st edition of the BIMSTEC-India Marine Research Network (BIMReN) conference held?,New Delhi,Kochi,Colombo,Dhaka,Yangon,Kochi
249,Retail inflation in India fell to what historic low in October 2025?,0.50%,0.40%,0.25%,0.75%,None of the Above,0.25%
250,"Which two NBFCs had their Certificate of Registration cancelled by the RBI under Section 45-IA (6) of the RBI Act, 1934?",Jumbo Finvest (India) Limited & Champion Agro Finance Limited,Parichay Commotrade Pvt Ltd & Renuka Investments and Finance Limited,Muthoot Finance & Manappuram Finance,SBI Cards & HDFC Credila,Bajaj Finance & L&T Finance,Jumbo Finvest (India) Limited & Champion Agro Finance Limited
251,Who chaired the review meeting with Managing Directors and CEOs of Public Sector Banks to assess H1 FY 2025–26 performance?,Union Finance Minister,RBI Governor,"Chairman, SBI","Secretary, Department of Financial Services","Secretary, Ministry of Finance","Secretary, Department of Financial Services"
252,India reaffirmed its support to the 13th Five-Year Plan of which country?,Nepal,Sri Lanka,Bhutan,Bangladesh,Myanmar,Bhutan
253,What is the total outlay approved for the new Export Promotion Mission (EPM) and Credit Guarantee Scheme for Exporters (CGSE)?,"₹25,060 crore","₹20,000 crore","₹40,000 crore","₹50,000 crore","₹45,060 crore","₹45,060 crore"
254,Where has the Singapore Business Federation opened its fourth Singapore Enterprise Centre in India?,Mumbai,Chennai,Hyderabad,Bengaluru,New Delhi,Bengaluru
255,"Under the newly approved rationalised royalty structure, which mineral has been assigned a 1% royalty rate?",Graphite,Caesium,Rubidium,Zirconium,Lithium,Zirconium
256,"During his visit to Bhutan, Prime Minister Modi inaugurated which India- funded hydroelectric project and announced a $455 million line of credit?",Tala Hydroelectric Project,Punatsangchhu-I Hydroelectric Project,Chukha Hydroelectric Project,Punatsangchhu-II Hydroelectric Project,Mangdechhu Hydroelectric Project,Punatsangchhu-II Hydroelectric Project
257,ICAI has signed an MoU with which organisation for real-time verification of UDIN?,CAG,"Army Purchase Organisation (APO), DGST, Indian Army",Ministry of Finance,RBI,MCA,"Army Purchase Organisation (APO), DGST, Indian Army"
258,Which ministry released the Standard Operating Procedure (SoP) to strengthen mechanisms for removing and preventing Non-Consensual Intimate Imagery (NCII) online?,Ministry of Home Affairs,Ministry of Women & Child Development,Ministry of Electronics and Information Technology (MeitY),Ministry of Law & Justice,Ministry of Information & Broadcasting,Ministry of Electronics and Information Technology (MeitY)
259,Who has been appointed as the first woman to lead the United Nations Tourism in its 50-year history?,Sheikha Nasser Al Nowais,Taleb Rifai,Zurab Pololikashvili,Gloria Guevara,Katherine Bennett,Sheikha Nasser Al Nowais
260,"According to the Global Carbon Project, India’s carbon emissions are expected to rise by how much in 2025?",0.8%,1.1%,1.4%,2.2%,4%,1.4%
261,Where was the 6th edition of the Vietnam-India Bilateral Army Exercise (VINBAX) held?,"Ambala, Haryana","Jabalpur, Madhya Pradesh","Ho Chi Minh City, Vietnam","New Delhi, India","Hanoi, Vietnam","Hanoi, Vietnam"
262,Where will the U.K. build its first mini nuclear power station?,Scotland,North Wales,Manchester,London,Birmingham,North Wales
263,"Which organization released the Global Climate Risk Index (CRI) at COP30 in Belem, Brazil?",UNEP,IPCC,UNFCCC,World Bank,Germanwatch,Germanwatch
264,India and Nepal amended the Treaty of Transit to allow rail-based freight movement between which two locations?,Raxaul – Kathmandu,Jogbani – Biratnagar,Siliguri – Pokhara,Gorakhpur – Janakpur,Nautanwa – Birgunj,Jogbani – Biratnagar
265,The application fee for obtaining a GI tag in India has recently been reduced to what amount?,"₹2,500","₹1,500","₹1,000",₹500,None of the Above,"₹1,000"
266,Which film has been selected as Palestine’s official entry for the 98th Academy Awards (Best International Feature Film)?,Songe (Passing Dreams),Gaza Mon Amour,Palestine 36,Omar,200 Meters,Palestine 36
267,What is commemorated on November 11 as National Education Day in India?,Jawaharlal Nehru,Maulana Abul Kalam Azad,Dr. Sarvepalli Radhakrishnan,Mahatma Gandhi,B.R. Ambedkar,Maulana Abul Kalam Azad
