question,option1,option2,option3,option4,option5,answer
"As per the 2025 SIDBI report, how many MSMEs were registered on the Udyam Registration Portal by March 2025?",3.5 crore,4.8 crore,5.6 crore,6.2 crore,7.1 crore,6.2 crore
What is the theme of World Milk Day 2025?,Let’s Celebrate The Power of Dairy,Nutrition through Dairy,Milk for All,Dairy for Growth,Power in Every Drop,Let’s Celebrate The Power of Dairy
What is the primary focus of the MoU signed between India and Argentina?,Space exploration,Lithium exploration and investment,Oil and gas production,Renewable energy development,Agriculture and food security,Lithium exploration and investment
Who released the book ‘Jammu Kashmir & Ladakh Through the Ages: A Visual Narrative of Continuities and Linkages’?,Anurag Thakur,Piyush Goyal,Narendra Modi,Dharmendra Pradhan,Amit Shah,Amit Shah
Who launched the AI-powered tool ‘SabhaSaar’ for Gram Sabha meetings?,Amit Shah,Dharmendra Pradhan,Nitin Gadkari,Anurag Thakur,Rajiv Ranjan Singh ‘Lalan’,Rajiv Ranjan Singh ‘Lalan’
What is the Rank of India in Henley Passport Index 2025 Published by Henley ?,78th,80th,82nd,84th,85th,85th
How much dividend did Indian Bank pay to the Government of India for FY 2024–25?,"Rs.1,212 crore","Rs. 1,616.14 crore","Rs.1,500 crore","Rs.1,400 crore","Rs.1,800 crore","Rs. 1,616.14 crore"
Which civilian honour was conferred upon PM Narendra Modi by Namibia in July 2025?,Order of the Rising Sun,Order of the Baobab,Order of the Leopard,Order of the Most Ancient Welwitschia Mirabilis,Order of Unity,Order of the Most Ancient Welwitschia Mirabilis
"During Prime Minister Modi’s historic visit, which Latin American country did he become the first Indian PM to visit in 57 years?",Brazil,Chile,Argentina,Peru,Colombia,Chile
What is the primary objective of the Ministry of Ayush’s 'Y-Break' initiative?,Promote yoga in schools,Offer 30-minute yoga classes,Encourage 5-minute workplace wellness breaks,Train yoga instructors for rural areas,Provide yoga therapy for chronic diseases,Encourage 5-minute workplace wellness breaks
Who launches report on “From Borrowers To Builders: Women’s Role in India’s Financial Growth Story” ?,NITI Aayog,Ministry of Home affairs,RBI,SEBI,Ministry of Education,NITI Aayog
"As per SEBI’s new directive, what is the revised expiry day for NSE’s weekly index derivatives from July 1, 2024?",Monday,Tuesday,Wednesday,Thursday,Friday,Tuesday
"In January 2025, which two banks were penalized by the Reserve Bank of India (RBI) for deficiencies in regulatory compliance?",Axis Bank and IDFC First Bank,Kotak Mahindra Bank and Punjab National Bank,ICICI Bank and Yes Bank,State Bank of India (SBI) and HDFC Bank,Equitas Small Finance Bank and India Post Payments Bank,Equitas Small Finance Bank and India Post Payments Bank
When is World Snow Leopard Day observed and what is the theme for 2025?,23rd October,1st November,15th December,10th January,5th February,23rd October
Which company launched the ‘Health Systematic Investment Plan (SIP)’ and the ‘Health Buddy’ App in India?,LIC,HDFC Life,ICICI Prudential Life,TATA AIA Life Insurance,SBI Life,TATA AIA Life Insurance
Which government received the People First Integration Award at the National Workshop and Conference on DigiLocker 2025?,Government of Kerala,Government of Himachal Pradesh,Government of Maharashtra,Government of Tamil Nadu,Government of Gujarat,Government of Himachal Pradesh
Which organisation is set to launch a new telescope that promises to create the most vibrant map of the cosmos ever conceived ?,ISRO,DRDO,NASA,HAL,None of these,HAL
"At the 78th World Health Assembly, which disease was India officially certified to have eliminated as a public health problem by the WHO?",Polio,Tuberculosis,Trachoma,Kala-azar,Measles,Trachoma
Indian Coast Guard Day is observed annually on which day ?,30 January,31 January,1 February,2 February,3 February,1 February
The Ministry of Ayush signed an agreement with which organization to develop a Traditional Medicine Module under the International Classification of Health Interventions (ICHI)?,United Nations,World Health Organization (WHO),UNESCO,World Bank,International Monetary Fund,World Health Organization (WHO)
What is the purpose of the Janjatiya Gaurav Varsh Pakhwada observed from 1st–15th November 2025?,To celebrate India’s Independence Day,To commemorate tribal freedom fighters and mark the 150th birth anniversary of Bhagwan Birsa Munda,To promote agricultural achievements,To honor industrial leaders,To mark National Education Day,To commemorate tribal freedom fighters and mark the 150th birth anniversary of Bhagwan Birsa Munda
"Who is the author of the book ""The Great Conciliator: Lal Bahadur Shastri and the Transformation of India""?",Ramachandra Guha,Sanjeev Chopra,Shashi Tharoor,Jairam Ramesh,Rajmohan Gandhi,Sanjeev Chopra
"Which is the world’s most valuable brand according to Global 500, 2025 report Published by Brand Finance ?",Apple,Google,Amazon,Microsoft,Walmart,Apple
Which organisation launched a new Medical Application Portal for ISO 15189:2022 applicant laboratories to enhance transparency and efficiency in the accreditation process?,Indian Council of Medical Research (ICMR),National Accreditation Board for Testing and Calibration Laboratories (NABL),Bureau of Indian Standards (BIS),National Board of Examinations (NBE),NITI Aayog,National Accreditation Board for Testing and Calibration Laboratories (NABL)
International Day for Disarmament and Non-Proliferation Awareness is observed every year on which day ?,3 March,4 March,5 March,6 March,7 March,5 March
What is the purpose of the newly launched Online National Drug Licensing System (ONDLS) in India?,To promote online sales of medicines,To monitor high-risk pharmaceutical solvents in real time,To regulate import of foreign drugs,To ensure pricing control of essential medicines,To promote domestic drug exports,To monitor high-risk pharmaceutical solvents in real time
What is the purpose of the newly unveiled Golden Dome Missile Defense System by the United States?,To enhance nuclear submarine capabilities,To shield the U.S. from foreign missile threats,To develop offensive hypersonic missiles,To control military satellites,To expand NATO’s joint defense operations,To shield the U.S. from foreign missile threats
"Kirsty Coventry, the newly elected IOC President, belongs to which country?",South Africa,Zimbabwe,Kenya,Nigeria,Ghana,Zimbabwe
How much dividend did the Life Insurance Corporation of India (LIC) pay to the Centre for FY 2024–25?,"₹5,000 crore","₹6,250 crore","₹7,324.34 crore","₹8,100 crore","₹9,500 crore","₹7,324.34 crore"
"According to NCRB’s 2023 report, what percentage of total road accident deaths were caused by speeding?",45.8%,58.6%,23.6%,34.6%,19.2%,58.6%
What is the objective of the “Mission for Aatmanirbharta in Pulses” approved by the Union Cabinet?,To promote organic farming of pulses,To achieve self-sufficiency in pulses production,To export pulses to neighboring countries,To reduce pulse consumption in India,To establish international pulse research centers,To achieve self-sufficiency in pulses production
What is the SPARK 4.0 program launched by the Ministry of AYUSH?,A scholarship for MBBS students,A short-term research program for BAMS students,A nationwide Ayurveda awareness campaign,A postgraduate Ayurveda fellowship,A training program for Ayurveda faculty,A short-term research program for BAMS students
Which bank launched the AU KOSMO Credit Card in partnership with Kiwi?,HDFC Bank,Axis Bank,ICICI Bank,AU Small Finance Bank,SBI,AU Small Finance Bank
From which date has NPCI directed banks and payment apps to stop peer-to- peer (P2P) UPI “collect requests” to curb frauds?,"September 1, 2025","October 1, 2025","November 1, 2025","December 1, 2025","January 1, 2026","October 1, 2025"
Sumitomo Banking Corporation (SMBC) is exiting its stake from which Indian private bank in a $700 million block deal?,HDFC Bank,ICICI Bank,Axis Bank,Kotak Mahindra Bank,Yes Bank,Kotak Mahindra Bank
Which Indian organization virtually participated in the Science Summit 2025 at the 80th United Nations General Assembly in New York?,ISRO,Department of Science and Technology,DRDO,NITI Aayog,CSIR - National Institute of Science Communication and Policy Research,CSIR - National Institute of Science Communication and Policy Research
Who is the author of the book Operation SINDOOR?,Arundhati Roy,Lt Gen KJS ‘Tiny’ Dhillon,Rajiv Malhotra,Gen Bipin Rawat,Vikram Sampath,Lt Gen KJS ‘Tiny’ Dhillon
Where is the headquarters of the International Organization for Marine Aids to Navigation (IALA) located?,"Saint-Germain-en-Laye, France",Singapore,"Geneva, Switzerland","New York, USA","Tokyo, Japan","Saint-Germain-en-Laye, France"
What is the theme of World Patient Safety Day observed globally on September 17 by the World Health Organization?,Safe surgery for all,Patient safety from the start,Safe care for every newborn and every child,Healthcare without harm,Quality care for all,Safe care for every newborn and every child
How much total investment has the Adani Group committed in Chhattisgarh for energy and cement projects?,"Rs 40,000 crore","Rs 45,000 crore","Rs 50,000 crore","Rs 60,000 crore","Rs 65,000 crore","Rs 65,000 crore"
Which team topped the medal tally at the 38th Summer National Games?,Maharashtra,Haryana,Services Sports Control Board,Punjab,Karnataka,Services Sports Control Board
Who has been appointed as the Director General of the Central Reserve Police Force (CRPF)?,Kuldiep Singh,Rakesh Asthana,Gyanendra Pratap Singh,Anil Chauhan,Sudeep Lakhtakia,Gyanendra Pratap Singh
What is the primary purpose of the RBI’s ‘RBIDATA’ mobile application?,To provide real-time stock market updates.,To offer seamless access to economic and financial data.,To facilitate online banking transactions.,To allow the public to file banking complaints.,To issue digital currency directly to users.,To offer seamless access to economic and financial data.
HDFC ERGO General Insurance has partnered with which digital payments platform to launch an affordable health insurance solution targeting the “Missing Middle”?,Paytm,Google Pay,Amazon Pay,BharatPe,PhonePe,PhonePe
"What is the title of the book authored by Arun Singhal and Devendra Kumar Sharma, recently launched in New Delhi?",Genius of Numbers,The Mathematical Mind,Ramanujan: Journey of a Great Mathematician,Numbers Never Lie,Legacy of Ramanujan,Ramanujan: Journey of a Great Mathematician
What is the name of the operation launched by the Indian Coast Guard to protect Olive Ridley turtles during their nesting season?,Operation Turtle Watch,Operation Ridley Safe,Operation Coast Nest,Operation Gahirmatha,Operation Olivia,Operation Olivia
Karnataka Bank recently celebrated which milestone Founders' Day?,50th,65th,75th,90th,101th,101th
What is the purpose of raising the new 'Bhairav' light commando battalions by the Indian Army?,To conduct peacekeeping missions abroad,To enhance swift strike capabilities along borders with Pakistan and China,To replace regular infantry units,To provide disaster relief in remote areas,To train soldiers in cyber warfare,To enhance swift strike capabilities along borders with Pakistan and China
Which ministry has inaugurated the country’s first vertical bi-facial solar plant installation ?,Union Ministry of Housing and Urban Affairs,Union Ministry of Education,Union Ministry of Skill Development and Entrepreneurship,Union Ministry of Mines,Union Ministry of Jal Shakti,Union Ministry of Housing and Urban Affairs
Who was crowned Miss Universe India 2025 at a glittering event held in Jaipur?,Tanya Sharma,Manika Vishwakarma,Mehak Dhingra,Amishi Kaushik,Rhea Singha,Manika Vishwakarma
Who has been selected as the Commonwealth Youth Peace Ambassador for the 2025–2027 term?,Ananya Singh,Riya Chakraborty,Sukanya Sonowal,Meenakshi Das,Tanvi Joshi,Sukanya Sonowal
What is the objective of Kerala's newly launched 'Jyothi' initiative?,Support migrant children’s education,Encourage digital learning,Promote girl child education,Provide midday meals,Set up new government schools,Support migrant children’s education
What is the name of India’s new hypersonic missile developed under DRDO’s Project Vishnu?,Agni Prime,Shaurya II,BrahMos II,Nirbhay-X,ETLDHCM,ETLDHCM
What is the name of the monthly financial support scheme launched by the All India Chess Federation (AICF) for young chess talents?,Chess Star Support Plan,Young Grandmasters Fund,National Chess Growth Scheme,Top National Players Stipend Scheme,Rising Talent Scholarship,Top National Players Stipend Scheme
"What is the primary objective of the Bills of Lading Bill, 2025 passed by the Indian Parliament?",Increase customs duties on shipping goods,Introduce subsidies for Indian shipping companies,"Replace the colonial-era Indian Lading Act, 1856 with a simplified legal framework",Establish a new ministry for maritime affairs,Mandate only digital bills of lading,"Replace the colonial-era Indian Lading Act, 1856 with a simplified legal framework"
What is the name of the new rules being notified to make Indian Standard Time (IST) mandatory across India?,"Indian Time Standardization Act, 2025","National Time Synchronization Rules, 2025","Legal Metrology (Indian Standard Time) Rules, 2025","National Time Uniformity Policy, 2025","IST Enforcement Regulation, 2025","Legal Metrology (Indian Standard Time) Rules, 2025"
What is the primary objective of ADB's 'Frontier Seed (Pacific)' initiative?,Providing large-scale infrastructure financing,Supporting SMEs with funding and technical assistance,Developing digital payment solutions,Expanding trade agreements among Pacific nations,None of the above,Supporting SMEs with funding and technical assistance
Who is the first female cricketer to be banned for corruption?,Ellyse Perry,Mithali Raj,Sophie Devine,Smriti Mandhana,Shohely Akhter,Shohely Akhter
BRICS-backed New Development Bank (NDB) will issue its first rupee- denominated bond in India before which year?,2024,2025,2026,2027,2028,2026
What was the theme of the ‘Bordermen Marathon 2025’?,"""Run for the Nation""","""Strength in Unity""","""Hand in Hand with Border Population""","""Fitness First, Duty Always""","""Bravehearts of the Borders""","""Hand in Hand with Border Population"""
What is the total length of the newly constructed Bairabi–Sairang rail line in Mizoram?,45.10 km,51.38 km,62.25 km,48.75 km,55.50 km,51.38 km
What is the name of the initiative launched by President Droupadi Murmu for the welfare of senior citizens in 2025?,Ageing with Dignity – Initiatives for the Welfare of Senior Citizens,Senior Dignity Scheme,ElderCare India Mission,Golden Years Support Programme,Senior Citizen Empowerment Yatra,Ageing with Dignity – Initiatives for the Welfare of Senior Citizens
When and where will the fifth edition of Khelo India University Games (KIUG) be held?,"November 1–12, 2025 in Maharashtra","November 24 – December 5, 2025 in seven cities of Rajasthan","December 10–20, 2025 in Gujarat","October 15–25, 2025 in Punjab","November 5–15, 2025 in West Bengal","November 24 – December 5, 2025 in seven cities of Rajasthan"
What measure has the RBI announced to inject liquidity into the banking system in March 2025?,Increasing the repo rate,Conducting Open Market Purchases and USD/INR swaps USD,Raising the Cash Reserve Ratio (CRR),Issuing new government bonds,Increasing foreign exchange reserves,Conducting Open Market Purchases and USD/INR swaps USD
Which company became the first to cross a $4 trillion market valuation milestone?,Nvidia,Microsoft,Apple,Alphabet,Amazon,Nvidia
Who recently visited India to strengthen UK-India cultural ties and cooperation in creative sectors?,Rishi Sunak,David Cameron,James Cleverly,Suella Braverman,Lisa Nandy,Lisa Nandy
Which organisation has signed an MoU with Synergy Quantum India for the development of drone-based Quantum Key Distribution (QKD) systems?,DRDO,ISRO,Centre for Development of Telematics (C-DOT),National Quantum Mission Authority,CDAC,Centre for Development of Telematics (C-DOT)
"As per the government, what was the CAGR of UPI transactions between FY 2017-18 and FY 2024-25?",41%,74%,114%,92%,86%,114%
Madhya Pradesh recently started a cheetah mating programme at which wildlife sanctuary to create a second viable home for cheetahs?,Kanha National Park,Gandhi Sagar Wildlife Sanctuary,Bandhavgarh National Park,Pench National Park,Kuno National Park,Gandhi Sagar Wildlife Sanctuary
The Union Cabinet has approved the implementation of the MERITE Scheme in 275 technical institutions. What is the primary objective of this scheme?,To provide free education to all engineering students,"To improve quality, equity and governance in technical education",To promote foreign collaborations in higher education,To construct new engineering colleges across India,None of these,"To improve quality, equity and governance in technical education"
Which district in Kerala has been declared as the first to eradicate extreme poverty?,Kottayam,Ernakulam,Thiruvananthapuram,Alappuzha,Kozhikde,Kottayam
When was the Mudh-Nyoma (Nyoma) Airbase in Ladakh operationalised?,1 November 2025,13 November 2025,20 December 2025,5 October 2025,25 November 2025,13 November 2025
"What recent announcement did Maharashtra’s Minister of Ports Development, Nitesh Narayan Rane, make regarding Mumbai’s Sassoon Dock?",Complete closure of Sassoon Dock,Privatization of Sassoon Dock,Conversion into a tourist hub,Construction of a new dock nearby,Technology-driven modernisation in collaboration with Finland,Technology-driven modernisation in collaboration with Finland
What is the name of the witness protection scheme launched by the Haryana government in Feb 2025?,Haryana Crime Prevention Scheme 2025,Haryana Witness Security Program,Haryana Witness Protection Scheme 2025,Haryana Law Enforcement Initiative,Haryana Justice and Safety Act 2025,Haryana Witness Protection Scheme 2025
Which Indian healthcare technology company has partnered with Telecom Egypt to develop a national digital healthcare platform in Egypt?,Practo,Tata Digital Health,Medanta Digital Health,1mg Technologies,KareXpert Technologies,KareXpert Technologies
India recently signed a Trade and Economic Partnership Agreement (TEPA) with which organization?,ASEAN,SAARC,European Free Trade Association (EFTA),BRICS,G20,European Free Trade Association (EFTA)
From when to when will public sector banks hold Re-KYC camps for Jan Dhan accounts in 2025?,1 June – 31 August 2025,1 July – 30 September 2025,15 July – 15 October 2025,1 August – 31 October 2025,None of these,1 July – 30 September 2025
What is the name of the new multi-state milk co-operative launched in Gujarat to source milk from 20 States and 2 UTs?,Amul Dairy Federation Ltd,National Milk Federation Ltd,Sardar Patel Co-operative Dairy Federation Ltd,Kisan Milk Union of India,Bharat Milk Co-operative Federation,Sardar Patel Co-operative Dairy Federation Ltd
Which Indian military operation is being officially commemorated after 38 years? 38 साल  बाद  ,Operation Meghdoot / ऑपरेशन  मेघदूत,Operation Vijay / ऑपरेशन  ,Operation Cactus / ऑपरेशन  कैक्टस,Operation Shakti / ऑपरेशन  श,Operation Pawan / ऑपरेशन  पवन,Operation Pawan / ऑपरेशन  पवन
